"lang"
{
	"Language"		"brazilian"
	"Tokens"
	{
		"CardName_10004"		"Meepo"
		"CardText_10004"		"[abilityname[Puf]][activatedability[[color:ability[Ativa 2 &#9632;, 1 de mana:]] Mova {s:thisCardName} para um espaço na trilha de qualquer {s:thisCardName} aliado. Cause 2 de dano a novos [g:600[inimigos adjacentes]].<br><br>  [color:quick[[g:624[Transversal]]]] <br>  [color:quick[[g:604[&#9634; Uso rápido]]]]]]<BR/>\n<BR/>\n[abilityname[Unidos Morreremos]]. Se este {s:thisCardName} morrer, os seus {s:thisCardName}s em todas as trilhas morrem."
		"CardName_10429"		"Puf"
		"CardText_10429"		"Mova {s:parentCardName} para um espaço na trilha de qualquer {s:parentCardName} aliado. Cause 2 de dano a novos [g:600[inimigos adjacentes]].<br><br>  [color:quick[[g:624[Transversal]]]] <br>  [color:quick[[g:604[&#9634; Uso rápido]]]]"
		"CardName_10490"		"Unidos Morreremos"
		"CardText_10490"		"Se este {s:parentCardName} morrer, os seus {s:parentCardName}s em todas as trilhas morrem."
		"CardEffect_10490_0"		"Se este {s:parentCardName} morrer, os seus {s:parentCardName}s em todas as trilhas morrem."
		"CardName_10005"		"Divididos Venceremos"
		"CardText_10005"		"[g:409[Invoque]] um [[Meepo]]."
		"CardName_10006"		"Luna"
		"CardText_10006"		"[abilityname[Raio Lunar]][color:play_effect[[g:616[Início da rodada]]:]]  Cause 1 de dano [g:509[perfurante]] a um inimigo aleatório e adicione uma carga às suas cartas de [[Eclipse]]."
		"CardName_10489"		"Raio Lunar"
		"CardText_10489"		"[color:play_effect[[g:616[Início da rodada]]:]] Cause 1 de dano [g:509[perfurante]] a um inimigo aleatório e adicione uma carga às suas cartas de [[Eclipse]]."
		"CardEffect_10489_0"		"[color:play_effect[[g:616[Início da rodada]]:]] Cause 1 de dano [g:509[perfurante]] a um inimigo aleatório e adicione uma carga às suas cartas de [[Eclipse]]."
		"CardName_10007"		"Eclipse"
		"CardText_10007"		"Para cada carga: [g:609[&#9633;]] Cause 2 de dano [g:509[perfurante]] a um inimigo aleatório."
		"CardName_10010"		"Serpe Invernal"
		"CardText_10010"		"[abilityname[Cauterização Ártica]][activatedability[[color:ability[Ativa 2 &#9632;, 1 de mana:]] +3[color:attribute_glyph[&#9635;]]. Mova-se para até 3 espaços de distância. [g:417[Conceda]] +2 de[color:attribute_glyph[]] [g:620[Degeneração]] a cada inimigo [g:627[atravessado]].<br><br>  [color:quick[[g:624[Transversal]]]]]]"
		"CardName_10430"		"Cauterização Ártica"
		"CardText_10430"		"+3[color:attribute_glyph[&#9635;]]. Mova-se para até 3 espaços de distância. [g:417[Conceda]] +2 de[color:attribute_glyph[]] [g:620[Degeneração]] a cada inimigo [g:627[atravessado]].<br><br>  [color:quick[[g:624[Transversal]]]]"
		"CardModification_10430_0"		"+3[color:attribute_glyph[&#9635;]]. Mova-se para até 3 espaços de distância. [g:417[Conceda]] +2 de[color:attribute_glyph[]] [g:620[Degeneração]] a cada inimigo [g:627[atravessado]].<br><br>"
		"CardName_10011"		"Maldição do Inverno"
		"CardText_10011"		"[g:405[Atordoe]] uma unidade inimiga. Os [g:601[vizinhos]] aliados dela a [g:423[golpeiam]]."
		"CardName_10014"		"Lican"
		"CardText_10014"		"[abilityname[Impulso Feroz]][color:play_effect[[g:615[Aura]]:]]  As suas [g:1[criaturas]] nesta trilha em até 2 espaços de distância têm +2[color:attribute_glyph[&#9635;]].<BR/>\n<BR/>\n[abilityname[Liderança da Matilha]]<br><br>Caso a soma de [color:attribute_glyph[&#9635;]] das suas [g:1[criaturas]] nesta trilha for de 15 ou mais, o {s:thisCardName} tem +3[color:attribute_glyph[&#9635;]] e as suas [g:1[criaturas]] em até 2 espaços de distância têm +1[color:attribute_glyph[&#9635;]]."
		"CardName_10494"		"Impulso Feroz"
		"CardText_10494"		"[abilityname[Impulso Feroz]][color:play_effect[[g:615[Aura]]:]]  As suas [g:1[criaturas]] nesta trilha em até 2 espaços de distância têm +2[color:attribute_glyph[&#9635;]]."
		"CardEffect_10494_0"		"[abilityname[Impulso Feroz]][color:play_effect[[g:615[Aura]]:]]  As suas [g:1[criaturas]] nesta trilha em até 2 espaços de distância têm +2[color:attribute_glyph[&#9635;]]."
		"CardName_11069"		"Liderança da Matilha"
		"CardText_11069"		"<br><br>Caso a soma de [color:attribute_glyph[&#9635;]] das suas [g:1[criaturas]] nesta trilha for de 15 ou mais, o {s:parentCardName} tem +3[color:attribute_glyph[&#9635;]] e as suas [g:1[criaturas]] em até 2 espaços de distância têm +1[color:attribute_glyph[&#9635;]]."
		"CardEffect_11069_0"		"Se [g:1[criaturas]] aliadas nesta trilha tiverem, pelo menos, 15[color:attribute_glyph[&#9635;]], o {s:parentCardName} aparecerá sempre como um [[Lobisomem]]."
		"CardName_11070"		"Lobisomem"
		"CardName_10017"		"Chen"
		"CardText_10017"		"[abilityname[Persuasão Sagrada]][activatedability[[color:ability[Ativa 3 &#9632;, 1 de mana:]] Roube permanentemente uma [g:1[criatura]] inimiga. [g:417[Conceda-la]] +2[color:attribute_glyph[&#9635;]] e +2[color:attribute_glyph[&#9637;]].]]<BR/>\n<BR/>\n[abilityname[Favor Divino]]<br><br>[color:play_effect[[g:617[Após o combate]]:]]  Cure todas as [g:1[criaturas]] aliadas em 2 de [g:511[Vida]]."
		"CardName_10432"		"Persuasão Sagrada"
		"CardText_10432"		"Roube uma [g:1[criatura]] inimiga. [g:417[Conceda-la]] permanentemente +2[color:attribute_glyph[&#9635;]] e +2[color:attribute_glyph[&#9637;]]."
		"CardModification_10432_0"		"Roube uma [g:1[criatura]] inimiga. [g:417[Conceda-la]] permanentemente +2[color:attribute_glyph[&#9635;]] e +2[color:attribute_glyph[&#9637;]]."
		"CardName_11072"		"Favor Divino"
		"CardText_11072"		"<br><br>[color:play_effect[[g:617[Após o combate]]:]]  Cure todas as [g:1[criaturas]] aliadas em 2 de [g:511[Vida]]."
		"CardEffect_11072_0"		"<br><br>[color:play_effect[[g:617[Após o combate]]:]]  Cure todas as [g:1[criaturas]] aliadas em 2 de [g:511[Vida]]."
		"CardName_10018"		"Sanguinário"
		"CardText_10018"		"[abilityname[Sede]]O {s:thisCardName} tem +[color:attribute_glyph[&#9635;]] proporcional à maior quantidade de [color:attribute_glyph[&#9637;]] faltante de um [g:0[herói]] em qualquer trilha. Não é reduzido caso o [g:0[herói]] morra.<br><br>  [color:quick[[g:624[Transversal]]]]"
		"CardName_10496"		"Sede"
		"CardText_10496"		"O {s:parentCardName} tem +[color:attribute_glyph[&#9635;]] proporcional à maior quantidade de [color:attribute_glyph[&#9637;]] faltante de um [g:0[herói]] em qualquer trilha. Não é reduzido caso o [g:0[herói]] morra.<br><br>  [color:quick[[g:624[Transversal]]]]"
		"CardEffect_10496_0"		"O {s:parentCardName} tem +[color:attribute_glyph[&#9635;]] proporcional à maior quantidade de [color:attribute_glyph[&#9637;]] faltante de um [g:0[herói]] em qualquer trilha. Não é reduzido caso o [g:0[herói]] morra.<br><br>"
		"CardName_10020"		"Machado"
		"CardText_10020"		"[abilityname[Grito do Furioso]][activatedability[[color:ability[Ativa 2 &#9632;, 1 de mana:]] [g:400[Batalhe]] contra todos os [g:600[inimigos adjacentes]].]]"
		"CardName_10816"		"Grito do Furioso"
		"CardText_10816"		"[g:400[Batalhe]] contra todos os [g:600[inimigos adjacentes]]."
		"CardName_10021"		"Capitão Centauro"
		"CardText_10021"		"[abilityname[Debandada]][activatedability[[color:ability[Ativa 3 &#9632;, 1 de mana:]] [g:417[Conceda]] [g:518[Atropelamento]] ao {s:thisCardName} e aos seus aliados.]]<BR/>\n<BR/>\n[abilityname[Grande Fortaleza]]O {s:thisCardName} ignora efeitos negativos de [color:attribute_glyph[&#9635;]], [color:attribute_glyph[&#9636;]] e [color:attribute_glyph[&#9637;]]."
		"CardName_10497"		"Debandada"
		"CardText_10497"		"[g:417[Conceda]] [g:518[Atropelamento]] ao {s:parentCardName} e aos seus aliados."
		"CardModification_10497_0"		"[g:417[Conceda]] [g:518[Atropelamento]] ao {s:parentCardName} e aos seus aliados."
		"CardName_11063"		"Grande Fortaleza"
		"CardText_11063"		"O {s:parentCardName} ignora efeitos negativos de [color:attribute_glyph[&#9635;]], [color:attribute_glyph[&#9636;]] e [color:attribute_glyph[&#9637;]]."
		"CardEffect_11063_0"		"O {s:parentCardName} ignora efeitos negativos de [color:attribute_glyph[&#9635;]], [color:attribute_glyph[&#9636;]] e [color:attribute_glyph[&#9637;]]."
		"CardName_10022"		"Serrote"
		"CardText_10022"		"[abilityname[Corrente Arbórea]][activatedability[[color:ability[Ativa 3 &#9632;, 1 de mana:]] Mova-se para até 5 espaços de distância. Cause 1 de dano a cada inimigo [g:627[atravessado]] no caminho.<br><br>  [color:quick[[g:624[Transversal]]]]]]"
		"CardName_10498"		"Corrente Arbórea"
		"CardText_10498"		"Mova-se para até 5 espaços de distância. Cause 1 de dano a cada inimigo [g:627[atravessado]] no caminho.<br><br>[color:quick[[g:624[Transversal]]]]"
		"CardName_10024"		"Caçador da Maré"
		"CardText_10024"		"[abilityname[Devastar]][activatedability[[color:ability[Ativa 4 &#9632;, 1 de mana:]] [g:405[Atordoe]] inimigos em até 2 espaços de distância nesta trilha.]]<BR/>\n<BR/>\n[abilityname[Colisão da Âncora]]Quando você jogar uma carta que não seja um [g:5[item]], o {s:thisCardName} [g:423[golpeia]] os seus [g:600[inimigos adjacentes]] com 1[color:attribute_glyph[&#9635;]] e concede -1[color:attribute_glyph[&#9635;]]. Se não houver inimigos adjacentes, [g:423[golpeie]] a [g:2[torre]] inimiga com 1[color:attribute_glyph[&#9635;]].<br><br>1 rodada de recarga."
		"CardName_10434"		"Devastar"
		"CardText_10434"		"[g:405[Atordoe]] inimigos em até 2 espaços de distância nesta trilha."
		"CardName_11065"		"Colisão da Âncora"
		"CardText_11065"		"Quando você jogar uma carta que não seja um [g:5[item]], o {s:parentCardName} [g:423[golpeia]] os seus [g:600[inimigos adjacentes]] com 1[color:attribute_glyph[&#9635;]] e concede -1[color:attribute_glyph[&#9635;]]. Se não houver inimigos adjacentes, [g:423[golpeie]] a [g:2[torre]] inimiga com 1[color:attribute_glyph[&#9635;]].<br><br>1 rodada de recarga."
		"CardName_10025"		"Inventor"
		"CardText_10025"		"[abilityname[Laser]][activatedability[[color:ability[Ativa 3 &#9632;, 1 de mana:]] Cause 1 de dano [g:509[perfurante]] a uma [g:608[unidade]] e a [g:404[desarme]]. [g:417[Conceda-la]] -2[color:attribute_glyph[&#9636;]] por duas rodadas.]]"
		"CardName_10435"		"Laser"
		"CardText_10435"		"Cause 1 de dano [g:509[perfurante]] a uma [g:608[unidade]] e a [g:404[desarme]]. [g:417[Conceda-la]] -2[color:attribute_glyph[&#9636;]] por duas rodadas."
		"CardModification_10435_0"		"Cause 1 de dano [g:509[perfurante]] a uma [g:608[unidade]] e a [g:404[desarme]]. [g:417[Conceda-la]] -2[color:attribute_glyph[&#9636;]] por duas rodadas."
		"CardName_10026"		"Rix"
		"CardText_10026"		"[abilityname[Rebelde Irrefreável]][g:611[Posicionamento veloz]]<br><br>  [color:death_effect[[g:603[Ao morrer]]:]]  [g:417[Ganhe]] permanentemente +1[color:attribute_glyph[&#9635;]]."
		"CardName_10500"		"Rebelde Irrefreável"
		"CardText_10500"		"[g:611[Posicionamento veloz]]<br><br>  [color:death_effect[[g:603[Ao morrer]]:]]  [g:417[Ganhe]] permanentemente +1[color:attribute_glyph[&#9635;]]."
		"CardEffect_10500_0"		"[color:death_effect[[g:603[Ao morrer]]:]] Adicione 1 carga a {s:thisCardName}."
		"CardName_10029"		"Senhor das Feras"
		"CardText_10029"		"[abilityname[Chamado da Selva]][activatedability[[color:ability[Ativa 2 &#9632;, 1 de mana:]] [g:409[Invoque]] uma [[Fera Leal]].]]<BR/>\n<BR/>\n[abilityname[Fera Interior]]O {s:thisCardName} tem +2[color:attribute_glyph[&#9635;]] por cada [[Fera Leal]] vizinha."
