"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"好戏才正要开始……"
"DCG_NPE_Starter1"				"红绿肉搏牌组"
"DCG_NPE_Starter2"				"蓝黑统御牌组"
"DCG_NPE_Training_Complete"		"训练完成"
"DCG_NPE_First_Match"			"第一场比赛（1/2）"
"DCG_NPE_Begin_Training"		"开始训练"
"DCG_NPE_First_Deck_Desc"		"其特色是英雄持久耐战，加成威力强大；你可以凭借压倒性的力量让敌方塔灰飞烟灭。"
"DCG_NPE_First_Match_Desc"		"使用此牌组进行一场形式完全自由的人机比赛，同时学习游戏的核心规则。"
"DCG_NPE_Second_Match"			"第二场比赛（2/2）"
"DCG_NPE_Continue_Training"		"继续训练"
"DCG_NPE_Second_Deck_Desc"		"你的英雄乍看之下很脆弱，但只要稍微用点头脑、耍点诡计，就能创下傲人战绩。"
"DCG_NPE_Second_Match_Desc"		"再进行一场形式完全自由的人机比赛，并学习更多重要规则。"
"DCG_NPE_ClaimDecksAndPacks"	"领取牌组+卡牌包"
"DCG_NPE_Training_Complete_Desc"	"你已完成训练，但是这只是伟大冒险的开端而已。随着经验的累积，你会发现更加丰富的战略玩法。"
"DCG_NPE_ThatsAll"				"从现在开始，你可以随心所欲地玩Artifact了。无论你是想交朋友、与他人竞赛、或只是想轻松地玩游戏，一切都由你决定！"
"DCG_NPE_BotPractice"			"与机器人练习对战"
"DCG_NPE_BuildDecks"			"自定义牌组"
"DCG_NPE_Challenge"				"挑战好友"
"DCG_NPE_Unmute"				"你可以在菜单中解除屏蔽玩家消息。"
"DCG_NPE_Chatwheel"				"（点击并按住你的塔或单位以聊天）"

"DCG_NPE_Skip"					"确定要跳过训练吗？（不建议）"
"DCG_NPE_Skip_Description"		"在训练过程中，你将使用新手牌组进行两场自由人机比赛，借此了解Artifact的核心机制。如果你选择跳过训练，仍可以领取新手牌组与卡牌包。确定要跳过训练吗？"
"DCG_NPE_Skipped"				"如果你想重复训练，可在菜单中找到选项。"

"DCG_NPE_Continue"				"继续"

"DCG_NPE_Intro01"				"来用你的第一个牌组玩游戏吧！红色英雄和绿色英雄是强悍的战士与神职人员。"
"DCG_NPE_Intro02"				"这次你要改用另一组颜色的牌组进行游戏。黑色英雄和蓝色英雄是体力单薄的游侠和具有强大技能的巫师。"

"DCG_NPE_TowersEachLane"		"你和对手在三条兵线上各有一座塔……"
"DCG_NPE_YourTowers"			"你的塔"
"DCG_NPE_TheirTowers"			"对手的塔"
"DCG_NPE_TowerHealth"			"每座塔一开始各有30生命。"
"DCG_NPE_DestroyAny2"			"摧毁对手的三座塔中任意两座塔即可获胜！"
"DCG_NPE_HeroColor"				"你在这条兵线上有一名红色英雄……"
"DCG_NPE_CardColor"				"……所以你只能在此处打出红色卡牌。" //CHANGED
"DCG_NPE_PlayACreep"			"打出一张小兵卡（&#9640;）至战斗位置。"
"DCG_NPE_CreepHittingTower"		"这个单位未受阻挡，将在战斗中对塔造成伤害。"
"DCG_NPE_Combat"				"这个瞄准箭头表示这名小兵会对正对面的小兵造成伤害。"
"DCG_NPE_LastAction"			"你的对手打出了一张法术卡（&#9642;），对你的塔造成了4伤害。"
"DCG_NPE_LastAction2"			"双击查看你的对手上次打出的卡牌。"
"DCG_NPE_Pass"					"所有单位会在双方玩家让过后自动攻击。"
"DCG_NPE_DamagePreview"			"战斗预览会显示每个单位在战斗中将受到多少伤害。"
"DCG_NPE_DeathPreview"			"战斗预览显示此单位会在战斗中死亡。"
"DCG_NPE_GlowingBorder"			"每张可打出的卡牌边框都会发蓝光。"
"DCG_NPE_GlowingBorder2"		"打出另一张小兵卡（&#9640;）对塔进行攻击。"
"DCG_NPE_HeroColor2"			"你在这条兵线上有一名绿色英雄，所以你可以打出绿色卡牌……"
"DCG_NPE_CardCost"				"……但这些绿色卡牌需消耗的魔力超过3。"
"DCG_NPE_CurrentMana"			"每座塔一开始有3魔力，每回合会自动补满。"
"DCG_NPE_NoActions"				"有时你没有办法采取任何行动，只能让过。"
"DCG_NPE_YourGold"				"每杀死一名小兵可获得1金钱，每杀死一名英雄可获得5金钱。"
"DCG_NPE_Inspection"			"在游戏中双击任意卡牌，便能查看卡牌上划线的术语。"
"DCG_NPE_DeployHero"			"将你的英雄部署到任意兵线上。"
"DCG_NPE_RememberColors"		"若一条兵线上同时有绿色英雄和红色英雄，你就可以在此兵线上打出这两种颜色的卡牌。"
"DCG_NPE_MaxMana"				"每回合你的塔最大魔力会自动增加1。"
"DCG_NPE_CreepIcon"				"小兵"
"DCG_NPE_SpellIcon"				"法术"
"DCG_NPE_TypeIcons"				"你可以通过类型标志来区分法术（&#9642;）和小兵（&#9640;）。"
"DCG_NPE_Ancient"				"摧毁一座塔后，遗迹及其生命就会显露。"
"DCG_NPE_Ancient2"				"摧毁遗迹或另一条兵线的塔即可获胜。"
"DCG_NPE_RememberThisStuff"		"别忘记最重要的3件事：<BR>1. 摧毁任意两座塔，即可获得胜利。"
"DCG_NPE_RememberThisStuff2"	"2. 摧毁一座塔后，遗迹就会显现，摧毁遗迹也能获胜。"
"DCG_NPE_RememberThisStuff3"	"3. 双击任何一张卡牌，即可查看卡牌上的术语说明（顺势、攻城、惩处等）。"
"DCG_NPE_ActiveAbility"			"这项主动技能已结束冷却。请阅读技能效果，准备好后即可使用。"
"DCG_NPE_ActiveAbilityReady"	"主动技能已可用"
"DCG_NPE_HandScrolling"			"手牌数量无上限。左右拖动手牌即可查看所有手牌。"
"DCG_NPE_Fountain"				"你的英雄已经死亡，正在泉水中治疗。但不用担心……"
"DCG_NPE_Fountain2"				"一个完整的回合过后，英雄就会自动在部署阶段返回战场。"
"DCG_NPE_ImprovementPlayed"		"这张卡牌是强化卡（&#9641;），会对这条兵线造成影响。"
"DCG_NPE_ImprovementPlayed2"	"强化卡（&#9641;）的效力会持续整场游戏。双击可查阅其效果。"
"DCG_NPE_EquipmentPermanent"	"装备卡可打出至任意英雄身上，且永久有效。"
"DCG_NPE_EquipmentPermanent2"	"即使英雄死亡后被重新部署，仍将保有其装备。"
"DCG_NPE_LaneScrolling"			"一条兵线上的单位数量无上限。左右拖动单位即可查看整条兵线。"
"DCG_NPE_CrosslaneCard"			"魔力消耗旁的这些箭头表示这张卡牌能以任意兵线为目标！"
"DCG_NPE_CrosslaneCard2"		"强化卡（&#9641;）能以任意兵线为目标。选择一条兵线使用这张卡。"
"DCG_NPE_CancelAction"			"你可以从边框发蓝光的卡牌中选择目标，或取消使用卡牌。"


"DCG_NPE_DeployFirstHero"		"你在第一轮次有3名英雄可以部署。将此英雄部署至中路。"
"DCG_NPE_DeploySecondHero"		"将此英雄部署至左路。"
"DCG_NPE_DeployThirdHero"		"将最后一名英雄部署至右路。"
}
