"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Я знаю, кто-то из вас поддерживал восстание воулов... Вы верили, что дело Рикса было правым и что Галаний был тираном, которому стоило показать, что мир ему не принадлежит. Я понимаю ваши чувства. Однако теперь это не имеет значения. Рикс дал Клятву, и в обмен на его душу Ристульский двор дал ему возможность уничтожить Стоунхолл. Жесток ли Галаний? Возможно. Однако он на стороне живых. Мы не будем сидеть сложа руки, пока демоны убивают мужчин, женщин и детей Стоунхолла. Мы выйдем маршем. И мы будем бороться. И да, многие из нас погибнут. Но мы жертвуем свои жизни не по глупости, но по необходимости... Ведь кто остановит мёртвых и проклятых, если не мы?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" Смерть так же естественна, как и наш страх перед ней. Но внемлите мне: смерть — это не чудище, которое можно одолеть. Это не источник силы, который можно подчинить своей воле, и не раб, исполняющий приказы. Так что когда смерть придёт в ваш дом, встречайте её не со страхом — ибо страх, который вы покажете, отразится страданиями любящих вас. Нет. Лучше встречать смерть сердечно... сохраняя решительность и отвагу. Будьте примером для своих друзей, чтобы, когда вас не станет, отвага их не покинула."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Мёртвые сильны, но наша вера ещё сильнее."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Храни нас, Крелла... Дай нам сил пред лицом неминуемой гибели... И мудрости не повторить твою печальную участь."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Грешников ждёт смерть."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Я несу правосудие."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Мне нужно защитить живых..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"У паствы будет защита."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Я не боюсь битвы."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Дар свыше..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Я защищена."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Я не боюсь смерти."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Буду сражаться до конца..."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Я здесь до горького конца."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Прекрасно."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"То, что нужно."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Устроит."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Это мне пригодится."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Хорошо. "
	"DCG_VO_lady_anshu_kill_rival_01"	"Я буду за тебя молиться."
	"DCG_VO_lady_anshu_kill_rival_02"	"Всё кончено."
	"DCG_VO_lady_anshu_kill_rival_03"	"Для тебя слишком поздно."
	"DCG_VO_lady_anshu_kill_rival_04"	"Ты зря надеешься выжить."
	"DCG_VO_lady_anshu_kill_rival_05"	"Наша цель благородна."
	"DCG_VO_lady_anshu_kill_rival_06"	"Рамаск не падёт!"
	"DCG_VO_lady_anshu_kill_rival_07"	"Не стоило приходить сюда."
	"DCG_VO_lady_anshu_kill_rival_08"	"Тебе здесь не место!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Пастырь защитит своё стадо."
	"DCG_VO_lady_anshu_kill_rival_10"	"Зло не восторжествует."
	"DCG_VO_lady_anshu_use_include_01"	"Не бойся."
	"DCG_VO_lady_anshu_use_include_02"	"Мы будем помнить твою отвагу..."
	"DCG_VO_lady_anshu_use_include_03"	"Теперь отдыхай."
	"DCG_VO_lady_anshu_unique_01"	"Ты еретик и шарлатан, Некрофос."
	"DCG_VO_lady_anshu_unique_02"	"Ты будешь мечтать о смерти в чумных палатах, Ротунд'йер."
	"DCG_VO_lady_anshu_unique_03"	"Я верну твоё гниющее тело земле."
	"DCG_VO_lady_anshu_unique_04"	"Один бой за правое дело не искупит твоих деяний, Некрофос."
	"DCG_VO_lady_anshu_unique_05"	"Мне претит нужда быть с тобой на одной стороне."
	"DCG_VO_lady_anshu_unique_06"	"Ротунд'йер, твоя дорога к искуплению будет долгой."
	"DCG_VO_lady_anshu_unique_07"	"Следуй за мной, и мы одержим победу."
	"DCG_VO_lady_anshu_unique_08"	"Наша священная война только началась..."
	"DCG_VO_lady_anshu_unique_09"	"Нам предстоит немало работы..."
	"DCG_VO_lady_anshu_unique_10"	"Покараем нечисть!"
	"DCG_VO_lady_anshu_unique_11"	"В этом мире нет места мёртвым!"
	"DCG_VO_lady_anshu_unique_12"	"Рамаск всегда будет бороться с проклятыми!"
	"DCG_VO_lady_anshu_unique_13"	"Твоя погоня за властью закончится здесь, некромант..."
	"DCG_VO_lady_anshu_unique_14"	"Мёртвым место под землёй..."
	"DCG_VO_lady_anshu_unique_15"	"Большая честь сражаться вместе с тобой, Крелла."
	"DCG_VO_lady_anshu_unique_16"	"Крелла, ты пришла избавить нас!"
	"DCG_VO_lady_anshu_unique_17"	"Крелла, ты услышала наши молитвы..."
	"DCG_VO_lady_anshu_unique_18"	"Будь храбрее, моё дитя"
	"DCG_VO_lady_anshu_unique_19"	"Возможно, в смерти ты найдёшь искупление..."
	"DCG_VO_lady_anshu_unique_20"	"Ты настоящий пример для нас, Крелла..."
	"DCG_VO_lady_anshu_healed_01"	"ах..."
	"DCG_VO_lady_anshu_healed_02"	"спасибо."
	"DCG_VO_lady_anshu_healed_03"	"премного благодарна..."
	"DCG_VO_lady_anshu_healed_04"	"Мне лучше..."
	"DCG_VO_lady_anshu_healed_05"	"Спасибо."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Нам нельзя проиграть!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Мы будем сражаться до конца!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"Пробил наш час!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Победа обеспечена!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Пора нанести удар!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Покончим с нечистью!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Поставим их на колени!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Уничтожим Древнего!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Атакуем башню!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Святая Крелла, приведи нас к победе!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Покайся."
	"DCG_VO_lady_anshu_potential_kill_02"	"Это конец."
	"DCG_VO_lady_anshu_potential_kill_03"	"Довольно твоих злодеяний."
