"dcg_tutorial"
{
// TUTORIAL NODE 1

"DCG_Puzzle_TutorialNode1_Title"			"Node 1"
"DCG_Puzzle_TutorialNode1_Desc"				"<I>And so your quest to invoke the power of Artifact begins. Axe was on his way home from treasure hunting, but a tower cut off his path through the woods.</I>"

"DCG_Popup_TutorialNode_EnemyTowerTitle"	"Enemy Tower"
"DCG_Popup_TutorialNode_Intro1"				"<I>And so your quest to invoke the power of Artifact begins. Axe was on his way home from treasure hunting, but a tower cut off his path through the woods.</I>"
"DCG_Popup_TutorialNode_EnemyTower"			"Axe needs to destroy the enemy <font color=\"gold\">tower</font> at the top of the board. It has 20 <font color=\"gold\">health</font>."

"DCG_Popup_TutorialNode_HeroesTitle"		"Heroes"
"DCG_Popup_TutorialNode_Heroes"				"Axe is in a <font color=\"gold\">combat position</font> and his <font color=\"gold\">attack</font> rating is 7."

"DCG_Popup_TutorialNode_CombatPreviewTitle"	"Combat Preview"
"DCG_Popup_TutorialNode_CombatPreview"		"The red symbol next to the <font color=\"gold\">tower</font>'s <font color=\"gold\">health</font> shows that Axe's 7 <font color=\"gold\">attack</font> will be subtracted from the <font color=\"gold\">tower</font>'s <font color=\"gold\">health</font> once <font color=\"gold\">combat</font> is enaged. <font color=\"gold\">Damage indicators</font> like this are part of the <font color=\"gold\">combat preview</font>."
"DCG_Popup_TutorialNode_DamageIndicator"	"Inspect the <font color=\"gold\">tower</font>'s red <font color=\"gold\">damage indicator</font> to see a detailed view of the damage."

"DCG_Popup_TutorialNode_CombatTitle"		"Combat"
"DCG_Popup_TutorialNode_Combat"				"Select the golden <font color=\"gold\">Turn Token</font> in the bottom right of the board to lock in the <font color=\"gold\">combat preview</font> and engage <font color=\"gold\">combat</font>."

"DCG_Popup_TutorialNode_CreepsTitle"		"Creeps"
"DCG_Popup_TutorialNode_Creeps"				"An enemy <font color=\"gold\">creep</font> was sommoned to block Axe's path to the <font color=\"gold\">tower</font>. <font color=\"gold\">Creeps</font> are combat <font color=\"gold\">units</font> that fight just like <font color=\"gold\">heroes</font>."
"DCG_Popup_TutorialNode_Health"				"All combat <font color=\"gold\">units</font> have <font color=\"gold\">health</font>. Axe will have to kill the <font color=\"gold\">unit</font> blocking his combat position before and he can damage the <font color=\"gold\">tower</font>."

"DCG_Popup_TutorialNode_ArmorTitle"			"Armor"
"DCG_Popup_TutorialNode_Armor"				"The <font color=\"gold\">creep</font> will also hit Axe, but its <font color=\"gold\">attack</font> rating of 2 will be fully absorbed by Axe's 2 <font color=\"gold\">armor</font>. Click the <font color=\"gold\">Turn Token</font> to engage <font color=\"gold\">combat</font> and let's see what happens."
"DCG_Popup_TutorialNode_Armor2"				"Another enemy <font color=\"gold\">creep</font> was summoned to block Axe's path to the <font color=\"gold\">tower</font>. This one has an <font color=\"gold\">attack</font> rating of 4. The <font color=\"gold\">combat preview</font> shows that Axe will lose 2 <font color=\"gold\">health</font> while his 2 <font color=\"gold\">armor</font> absorbs the rest of the <font color=\"gold\">creep</font>'s <font color=\"gold\">attack</font>."

"DCG_Popup_TutorialNode_EquipmentTitle"		"Equipped Items"
"DCG_Popup_TutorialNode_Equipment"			"A giant <font color=\"gold\">creep</font> was summoned that can kill Axe. Play your <font color=\"gold\">items</font> on Axe to keep him alive and destroy the <font color=\"gold\">tower</font>."

"DCG_Popup_TutorialNode_Victory1Title"		"Destroy Enemy Tower"
"DCG_Popup_TutorialNode_Victory1"			"<I>Great, you destroyed the tower! Axe saw a few creeps among the rubble and helped pull them free. In return the creeps agree to join Axe on his journey home.</I>"

// TUTORIAL NODE 2

"DCG_Puzzle_TutorialNode2_Title"			"Node 2"
"DCG_Puzzle_TutorialNode2_Desc"				"<I>As Axe and his new friends pass through a graveyard they're surrounded by rising dead. A corrupted tower is controlling these enemy creeps and must be destroyed.</I>"

"DCG_Popup_TutorialNode_ManaTitle"			"Mana"
"DCG_Popup_TutorialNode_Intro2"				"<I>As Axe and his new friends pass through a graveyard they're surrounded by rising dead. A corrupted tower is controlling these enemy creeps and must be destroyed.</I>"
"DCG_Popup_TutorialNode_Mana"				"You have a pool of <font color=\"gold\">mana</font> that's spent when playing cards from your hand. You start with 3 <font color=\"gold\">mana</font>."
"DCG_Popup_TutorialNode_ManaCost"			"The <font color=\"gold\">mana cost</font> in the upper left of each card in your hand shows how much of the <font color=\"gold\">active lane</font>'s <font color=\"gold\">mana</font> is spent when playing that card."

"DCG_Popup_TutorialNode_OpposedPositionsTitle"	"Opposed Positions"
"DCG_Popup_TutorialNode_SummoningCreeps"	"Summon an allied <font color=\"gold\">creep</font> into a <font color=\"gold\">combat position</font>."
"DCG_Popup_TutorialNode_OpposedPositions"	"Units usually target the enemy directly across from them in <font color=\"gold\">combat</font>. <font color=\"gold\">Axe</font> will kill the <font color=\"gold\">creep</font> in front of him, but your <font color=\"gold\">creep</font>'s is facing an empty <font color=\"gold\">combat position</font>. Since there is no <font color=\"gold\">unit</font> blocking your <font color=\"gold\">creep</font> it's targeting the <font color=\"gold\">tower</font> in the <font color=\"gold\">combat preview</font>."

"DCG_Popup_TutorialNode_ManaRefreshTitle"	"Mana Refresh"
"DCG_Popup_TutorialNode_ManaRefresh"		"You spent 2 <font color=\"gold\">mana</font> and have 1 <font color=\"gold\">mana</font> remaining. You don't have any cards that cost 1 <font color=\"gold\">mana</font>, so let's lock in the <font color=\"gold\">combat preview</font> and move on to the next <font color=\"gold\">round</font>."
"DCG_Popup_TutorialNode_Rounds"				"Each <font color=\"gold\">round</font> your <font color=\"gold\">mana</font> pool automatically refills and increases by 1. So now you'll be able to play cards that cost up to 4 <font color=\"gold\">mana</font>!"

"DCG_Popup_TutorialNode_AbilitiesTitle"		"Abilities"
"DCG_Popup_TutorialNode_UnitAbilities"		"Some <font color=\"gold\">units</font> have special abilities. Inspect your <font color=\"gold\">Red Mist Pillager</font> and read its ability near the upper left of the card. Then summon it into a <font color=\"gold\">combat position</font>."
"DCG_Popup_TutorialNode_TriggeredAbilities"	"<font color=\"gold\">Abilities</font> are shown as icons in the bottom left of <font color=\"gold\">unit</font> cards. Inspect the <font color=\"gold\">Red Mist Pillager</font>'s <font color=\"gold\">reactive ability</font>. It's called a 'reactive ability' because it automatically activates each time the specified conditions are met."

"DCG_Popup_TutorialNode_Victory2Title"		"Destroy Enemy Tower"
"DCG_Popup_TutorialNode_Victory2"			"<I>The corrupted tower fell and the undead creeps return back into the earth. When Axe returned home he learned that an army was on it's way to destroy his village. Should he stay to defend or go to a nearby master to learn abilities that will help him defend?</I>"

// TUTORIAL NODE 3

"DCG_Puzzle_TutorialNode3_Title"			"Node 3"
"DCG_Puzzle_TutorialNode3_Desc"				"<I>Axe decided to stand his ground and defend the town from an incoming horde of creeps. Kill 10 creeps and protect your tower.</I>"

"DCG_Popup_TutorialNode_YourTowerTitle"		"Your Tower"
"DCG_Popup_TutorialNode_Intro3"				"<I>Axe decided to stand his ground and defend the town from an incoming horde of creeps.</I>"
"DCG_Popup_TutorialNode_YourTower"			"Your <font color=\"gold\">tower</font> is at the bottom of the board and has 40 <font color=\"gold\">health</font>. Kill 10 creeps before they can destroy your tower."

"DCG_Popup_TutorialNode_PathingCardsTitle"	"Pathing Cards"
"DCG_Popup_TutorialNode_Blocking"			"Axe is blocking one <font color=\"gold\">creep</font> from hitting your <font color=\"gold\">tower</font>. You can summon an allied <font color=\"gold\">creep</font> to block in another <font color=\"gold\">combat position</font>, but the remaining enemy will still target your <font color=\"gold\">tower</font>."
"DCG_Popup_TutorialNode_PathingCards"		"Fortunately you have <font color=\"gold\">pathing cards</font> to help! Each round they will automatically be drawn into each empty <font color=\"gold\">combat position</font>. Activate combat and watch the start of the next <font color=\"gold\">round</font> to see what happens."
