"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"これはほんの始まりに過ぎない…"
"DCG_NPE_Starter1"				"赤/緑のブローラーデッキ"
"DCG_NPE_Starter2"				"青/黒のコントロールデッキ"
"DCG_NPE_Training_Complete"		"トレーニング完了"
"DCG_NPE_First_Match"			"マッチ 1/2"
"DCG_NPE_Begin_Training"		"トレーニング開始"
"DCG_NPE_First_Deck_Desc"		"耐久性のあるヒーローと強力なバフを組み合わせ、敵のタワーを力づくで粉砕する。"
"DCG_NPE_First_Match_Desc"		"完全なフリースタイルのボットマッチをプレイしながら、基本ルールを学ぼう。"
"DCG_NPE_Second_Match"			"マッチ 2/2"
"DCG_NPE_Continue_Training"		"トレーニングを続行"
"DCG_NPE_Second_Deck_Desc"		"一見弱そうに見えるヒーローも、ちょっとした策と計画さえあれば、信じられないほどの離れ業を披露できる。"
"DCG_NPE_Second_Match_Desc"		"ここでも完全にフリースタイルのボットマッチをプレイしながら、さらにいくつかルールを学べる。"
"DCG_NPE_ClaimDecksAndPacks"	"デッキ＋パックを受け取る"
"DCG_NPE_Training_Complete_Desc"	"しかし、これはまだ冒険の始まりに過ぎない。プレイすればするほど、Artifactの奥深さがわかるだろう。"
"DCG_NPE_ThatsAll"				"これより先はArtifactを自由に楽しもう。フレンドと和やかに、競技として真剣に、もちろん気軽な息抜きとしてもプレイできる！"
"DCG_NPE_BotPractice"			"ボットを相手に練習"
"DCG_NPE_BuildDecks"			"デッキのカスタマイズ"
"DCG_NPE_Challenge"				"フレンドに挑戦"

"DCG_NPE_Skip"					"トレーニングをスキップしますか？ （非推奨）"
"DCG_NPE_Skip_Description"		"トレーニングでは、スターターデッキを使って、完全にフリー形式のボットマッチを2戦行い、Artifactの基本を紹介します。トレーニングをスキップすると、スターターデッキとカードパックを受け取ります。本当に続行しますか？"
"DCG_NPE_Skipped"				"トレーニングを繰り返したい場合は、[オプション] メニューを利用しよう。"

"DCG_NPE_Continue"				"続行"

"DCG_NPE_Intro01"				"初のデッキでプレイしよう！赤と緑のヒーローはタフな戦士や僧侶だ。"
"DCG_NPE_Intro02"				"今回はデッキを入れ替えてプレイだ。黒と青のヒーローは脆弱だが強力なアビリティを持つ、ローグや魔術師だ。"

"DCG_NPE_ZoomOut"				"3つのレーンを同時に見るには、盤面をダブルクリック。"
"DCG_NPE_TowersEachLane"		"自分と対戦相手にはそれぞれ、3つのレーンに1つずつタワーがある…"
"DCG_NPE_YourTowers"			"自分のタワー"
"DCG_NPE_TheirTowers"			"相手のタワー"
"DCG_NPE_ZoomIn"				"左のレーンをダブルクリックしてズームイン。"
"DCG_NPE_TowerHealth"			"各タワーの開始時のヘルスは40。"
"DCG_NPE_DestroyAny2"			"3つある敵のタワーのうち2つを破壊すれば勝利！"
"DCG_NPE_HeroColor"				"このレーンにいる味方ヒーローは赤だから…"
"DCG_NPE_CardColor"				"…赤のカードしかプレイできない。"
"DCG_NPE_PlayACreep"			"クリープ (&#9640;) カードをいずれかの戦闘位置にプレイしよう。"
"DCG_NPE_CreepHittingTower"		"このブロックされていないユニットは、戦闘でタワーにダメージを与える。"
"DCG_NPE_Combat"				"ターゲットの矢印は、このクリープが正面のクリープにダメージを与えることを表している。"
"DCG_NPE_LastAction"			"対戦相手がスペル (&#9642;) カードをプレイして味方のタワーに6ダメージを与えた。"
"DCG_NPE_LastAction2"			"ダブルクリックして、対戦相手が最後にプレイしたカードを見よう。"
"DCG_NPE_Pass"					"双方のプレイヤーがパスすると、全ユニットが自動的に攻撃を行う。"
"DCG_NPE_DamagePreview"			"戦闘プレビューには、各ユニットがこれから戦闘で受けるダメージが表示される。"
"DCG_NPE_DeathPreview"			"戦闘プレビューに、このユニットがこれから戦闘で死亡することが表示されている。"
"DCG_NPE_GlowingBorder"			"プレイ可能なカードは、枠が青く光る。"
"DCG_NPE_GlowingBorder2"		"タワーを攻撃するための別のクリープ (&#9640;) カードをプレイしよう。"
"DCG_NPE_HeroColor2"			"このレーンには緑のヒーローがいるので、緑のカードをプレイできるが…"
"DCG_NPE_CardCost"				"…これらの緑のカードはコストが3マナを超えている。"
"DCG_NPE_CurrentMana"			"各タワーの開始時のマナは3だ。マナはラウンドごとに自動的に満タンになる。"
"DCG_NPE_NoActions"				"時には取れる行動が全くなく、パスしなければならない場合もある。"
"DCG_NPE_YourGold"				"クリープ1体を倒す度に1ゴールドを、ヒーロー1体を倒す度に5ゴールドが得られる。"
"DCG_NPE_Inspection"			"どのカードもダブルクリックすれば下線付きのキーワードの意味が確認できる。"
"DCG_NPE_DeployHero"			"ヒーローを好きなレーンに配置しよう。"
"DCG_NPE_RememberColors"		"緑と赤のヒーローがいるレーンでは、両方の色のカードがプレイできる。"
"DCG_NPE_MaxMana"				"タワーの最大マナはラウンド毎に自動的に1増加する。"
"DCG_NPE_CreepIcon"				"クリープ"
"DCG_NPE_SpellIcon"				"スペル"
"DCG_NPE_TypeIcons"				"スペル（&#9642;）とクリープ（&#9640;）は、タイプシンボルで区別できる。"
"DCG_NPE_Ancient"				"タワーを破壊したため、別個のヘルスを持つエンシェントが現れた。"
"DCG_NPE_Ancient2"				"エンシェントを破壊するか、別のレーンのタワーを1つ破壊すれば勝利。"
"DCG_NPE_RememberThisStuff"		"覚えておきたい3つの重要事項:<BR>#1 2つのタワーを破壊すれば勝利。"
"DCG_NPE_RememberThisStuff2"	"#2 タワーを破壊すると現れるエンシェントを倒せば勝利。"
"DCG_NPE_RememberThisStuff3"	"#3 キーワード（クリーブ、攻城、死の宣告など）の説明を表示するにはカードをダブルクリック。"
"DCG_NPE_ActiveAbility"			"このアクティブアビリティはクールダウンが完了している。効果を確認し、準備ができたら使おう。"
"DCG_NPE_ActiveAbilityReady"	"アクティブアビリティが使用可能"
"DCG_NPE_HandScrolling"			"手札のカード数に上限はない。横にドラッグすればスクロールできる。"
"DCG_NPE_Fountain"				"死亡したヒーローは、泉で治癒中だ。でも心配は無用…"
"DCG_NPE_Fountain2"				"完全に1ラウンドが経過すると、配置フェイズで自動的に復活する。"
"DCG_NPE_ImprovementPlayed"		"これは増強 (&#9641;) と言い、このレーンに影響する。"
"DCG_NPE_ImprovementPlayed2"	"増強 (&#9641;) はゲームが終わるまで残る。ダブルクリックして効果を確認しよう。"
"DCG_NPE_EquipmentPermanent"	"装備は好きなヒーローにプレイでき、ずっと残る。"
"DCG_NPE_EquipmentPermanent2"	"ヒーローが死亡して再配置されても、装備は残る。 "
"DCG_NPE_LaneScrolling"			"レーンに配置するユニットの数に上限はない。ユニットを横にドラッグすれば、スクロールできる。"
"DCG_NPE_CrosslaneCard"			"マナコストの隣に矢印があるカードは、好きなレーンを対象にできる！"
"DCG_NPE_CrosslaneCard2"		"増強（&#9641;）カードは常に好きなレーンを対象にできる。レーンを選択してこのカードをプレイしよう。"
"DCG_NPE_CancelAction"			"枠が青く光っている対象を選ぶか、キャンセルしよう。"
}
