"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮爾龐特與我時常意見相左，但是他很聰明，知道激怒虛空假面有多危險。我不是很喜歡克拉錫利姆條約，因為操縱時空很好玩啊，但你知道什麼更好玩嗎？就是不讓自己的時間線被抹去。"
"DCG_VO_vanessa_whispers_of_madness"	"皮爾龐特老是警告我說「不要去攪和妳不懂的事情」。大部分的時候他是個假聖人真混蛋……但有時候他是對的。怎麼說呢，大致上是對的，畢竟我沒有真的死透。其實現在回想起來，他基本上就是個假聖人真混蛋。"
"DCG_VO_vanessa_relentless_zombie"	"諾格，玫葉城裡死人復生……有人拿走了誓約。"
"DCG_VO_vanessa_howling_mind"	"雖然很少發生，但偶爾會有法師獲准離開泰勒莊園……不過通常他們離開的時候，已經不再是從前的自己，也無法挽回了。"
"DCG_VO_vanessa_aghanims_sanctum"	"阿哈利姆是有史以來最偉大的法師，毫無疑問，毫無爭議，無人能出其右。所以當他某一天忽然消失時，我們不好奇他「如何」消失，而是好奇他「為何」消失。有人說他貪生怕死所以躲了起來，但是我從來都不相信。如果你問我的話，我會說阿哈利姆肯定在計劃什麼事情，非常重要，可以改變世界的事情。"
"DCG_VO_vanessa_arcane_assault"	"拉比克自稱是阿哈利姆之子，我不太相信，但我當然不會當著他的面說。"
"DCG_VO_vanessa_glyph_of_confusion"	"這是世界很殘酷，當之中不少人想要你的命時，你自然會學會如何防範。"
"DCG_VO_vanessa_the_tyler_estate"	"幾乎整個魔法世界都承認藍寶石教團的權威，但在悲玫城，我們自己管理自己，只聽命於由三十一位強大法師議員所組成的評議團。儘管悲玫城沒有那麼多繁文縟節，但是仍然有幾項我們必須嚴守的規定，一旦違反就會被送去泰勒莊園。"
"DCG_VO_ogre_bruiser_intro"	"打架就是拿根樹幹打爛人腦袋。我是打個比方！"
"DCG_VO_ogre_brusier_fighting_instinct"	"人生就是一堆人想來殺你，你要先下手為強。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"武器。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"比拳頭更硬。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"雖然不是大石頭，但也能湊合用。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"我覺得用起來手感和大樹差不多。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>低聲輕笑</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"我竟然能穿得上這個……"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"誰也殺不掉我了。"
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"這樣血就不會流出來了。"
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"我不喜歡被別人捅刀子。"
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"我可以活得更久了。"
