"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Я во многом не согласна с Пьерпонтом, но он весьма прозорливо решил, что злить Безликого опасно. Класзуремское соглашение меня совсем не радует, ведь хрономантия — вещь хорошая. Но знаете, что ещё хорошо? Когда время в твоём мире никто не уничтожил."
"DCG_VO_vanessa_whispers_of_madness"	"Пьерпонт вечно твердит, как «опасно совать нос в дела, которых не понимаешь». Почти всегда он ведёт себя как ханжа и лицемер... Но, к сожалению, иногда он бывает прав. Ну, почти прав. Насовсем я ещё не умирала. И знаете что — как ни посмотри, он всегда ханжа и лицемер."
"DCG_VO_vanessa_relentless_zombie"	"В Розолисте восстают мертвецы, Ногх... Кто-то дал Клятву."
"DCG_VO_vanessa_howling_mind"	"Такое случается нечасто, но иногда волшебникам разрешают покинуть поместье Тайлер. Вот только они уже не будут прежними."
"DCG_VO_vanessa_aghanims_sanctum"	"Аганим — величайший волшебник всех времён. Сомневаться и спорить бесполезно. С ним не сравнится никто. Так что когда он исчез, нас интересовало не «как», а «почему». Кто-то считает, что он скрылся, опасаясь за свою жизнь, но я в это ни за что не поверю. Как по мне, Аганим трудится над чем-то. Чем-то очень важным. Тем, что изменит мир."
"DCG_VO_vanessa_arcane_assault"	"Рубик утверждает, будто бы он сын Аганима. Я не очень ему верю, хотя в лицо Рубику я так никогда не скажу."
"DCG_VO_vanessa_glyph_of_confusion"	"Мир вокруг нас весьма коварен. Если немалая доля его жителей желает тебе смерти, учишься принимать определённые меры предосторожности."
"DCG_VO_vanessa_the_tyler_estate"	"Почти весь магический мир подчиняется Сапфировому собранию. Но в Плачущей розе мы сами себе хозяева и повинуемся только Совету, состоящему из тридцати одного могущественного мага. Законов и правил в Плачущей розе совсем немного, но мы им подчиняемся беспрекословно. Потому что нарушителей отправляют в поместье Тайлер."
"DCG_VO_ogre_bruiser_intro"	"Драться — всё равно что раскалывать черепа поленом. Это называется аналогия!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Жизнь — это когда все подряд пытаются тебя убить. Убей их первой."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Оружие."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Лучше, чем кулак."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"Не камень, но сгодится."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"Наверное, это чтобы махать. Как деревом."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>(тихо посмеивается)</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"Мне впору... Чудеса!"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Никто меня не убьёт."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Кровь останется внутри."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"Не люблю, когда меня режут."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Буду жить дольше."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Это поможет."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Спасибо."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"Я такой нарядный."
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Блестит."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Красиво."
"DCG_VO_ogre_bruiser_kill_rival_01"	"Я тебя размажу!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Умри!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"Я тебя сломаю!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"Крушить!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Ха-ха-ха-ха-ха!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"Весело!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Ой, я тебя поломал."
"DCG_VO_ogre_bruiser_kill_rival_08"	"Тебя так легко убить?"
"DCG_VO_ogre_bruiser_kill_rival_09"	"Уже всё?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Да уж!"
"DCG_VO_ogre_bruiser_use_include_01"	"Готов убивать."
"DCG_VO_ogre_bruiser_use_include_02"	"Готов ко всему."
"DCG_VO_ogre_bruiser_use_include_03"	"Готов драться."
"DCG_VO_ogre_bruiser_unique_01"	"Как бы и мне раздобыть вторую голову?"
"DCG_VO_ogre_bruiser_unique_02"	"Ты такой умный, маг."
"DCG_VO_ogre_bruiser_unique_03"	"Я с гордостью буду крошить для тебя черепа, маг."
"DCG_VO_ogre_bruiser_unique_04"	"Ну и как там, в Бронзовом легионе?"
"DCG_VO_ogre_bruiser_unique_05"	"Какая красивая железная татуировка."
"DCG_VO_ogre_bruiser_unique_06"	"Сожри Тресдин и сам стань командиром."
"DCG_VO_ogre_bruiser_unique_07"	"Трупы ты красиво швыряешь, это да."
"DCG_VO_ogre_bruiser_unique_08"	"Научи меня как-нибудь кидаться трупами."
"DCG_VO_ogre_bruiser_unique_09"	"Обожаю смотреть, как ты швыряешь мертвяков."
"DCG_VO_ogre_bruiser_unique_10"	"Гляньте-ка, вырядился как гладиатор."
"DCG_VO_ogre_bruiser_unique_11"	"Думаешь, если знаешь умные словечки, то ты лучше меня?"
"DCG_VO_ogre_bruiser_unique_12"	"Огру хватит двух рук, чтобы убить тебя, кусок трупа!"
"DCG_VO_ogre_bruiser_unique_13"	"У тебя красивые волосы."
"DCG_VO_ogre_bruiser_unique_14"	"Ты хорошая, дева. Вот бы тебе не проломили череп."
"DCG_VO_ogre_bruiser_unique_15"	"Я бьюсь за силы Света."
"DCG_VO_ogre_bruiser_unique_16"	"Силы Света дали мне цель!"
"DCG_VO_ogre_bruiser_unique_17"	"Спасибо, что указала мне путь, Преллекс."
"DCG_VO_ogre_bruiser_unique_18"	"Я бьюсь за силы Тьмы."
"DCG_VO_ogre_bruiser_unique_19"	"Силы Тьмы дали мне цель!"
"DCG_VO_ogre_bruiser_unique_20"	"Спасибо, что указала мне путь, Канна."
"DCG_VO_ogre_bruiser_healed_01"	"Ах..."
"DCG_VO_ogre_bruiser_healed_02"	"Хорошо."
"DCG_VO_ogre_bruiser_healed_03"	"Буду дальше драться."
"DCG_VO_ogre_bruiser_healed_04"	"Я многое переживу..."
"DCG_VO_ogre_bruiser_healed_05"	"Какая доброта."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Бей их!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Уничтожим башню!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Уничтожим Древнего!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Не щадить никого!"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"Покажем нашу силу!"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"Всё сожжём!"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"Всех раздавим!"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"Мы победим!"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"Нас не остановят!"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"В бой!"
"DCG_VO_ogre_bruiser_potential_kill_01"	"Не уйдёшь."
"DCG_VO_ogre_bruiser_potential_kill_02"	"Тебе крышка."
"DCG_VO_ogre_bruiser_potential_kill_03"	"Я сожру твой труп..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"Бежать некуда."
"DCG_VO_ogre_bruiser_potential_kill_05"	"Умирай."
"DCG_VO_ogre_bruiser_potential_save_01"	"Ха!"
