"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"我知道你們有些人支持豺狼人的革命……相信瑞克斯的正義主張、相信加拉尼烏斯是個暴君，必須讓他體認到並非全世界都屈服於他。我了解你們的感受。這一切都已經無關緊要。瑞克斯發下了誓約交出自己的靈魂，瑞斯托王廷也將摧毀石堂城的工具交付予他作為交換。加拉尼烏斯是個怪物嗎？可能是。但至少他還是個活人。我們不會眼睜睜放任這些惡魔屠殺石堂城的男女老少。我們將出兵奮戰。沒錯，我們許多人會喪生，但我們並非愚昧地去送死，而是必須挺身而出……因為如果沒有我們來阻止這些死者和魔鬼……還能有誰？"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	"死亡是種自然現象，我們對它的恐懼亦然。但耐下心來好好聽著：死亡不是能被擊斃的野獸，亦非能用意志操縱的力量，更不是任人差遣的奴隸。所以當死亡找上你時，你得毫無畏懼地問候它──因為你向死亡展現出的恐懼，將反映於愛你的人的悲痛之中。不。問候死亡時最好還帶著善意……內心鎮定而充滿勇氣，成為友人間的榜樣，讓他們能勇敢面對你的消失。"
	"DCG_VO_lady_anshu_rumusque_scythe"	"死者可能力量強大，但我們的信念更加堅定。"
	"DCG_VO_lady_anshu_shield_of_st_crell"	"請保佑我們，克萊拉……在必死無疑時賜與我們力量，並給予我們智慧，以免重蹈祢的覆轍。"
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"將邪惡之人趕盡殺絕。"
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"我將帶來正義。"
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"我要保護生者……"
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"信徒將受到保護。"
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"我不畏懼戰鬥。"
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"我光彩奪目……"
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"我安全了……"
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"我不懼怕死亡。"
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"血戰到底。"
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"我會奮戰到最後一刻。"
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"完美。"
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"我正需要這個。"
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"我用得上這個。"
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"這個我用得上。"
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"很好。"
	"DCG_VO_lady_anshu_kill_rival_01"	"我會為你祈禱。"
	"DCG_VO_lady_anshu_kill_rival_02"	"都結束了。"
	"DCG_VO_lady_anshu_kill_rival_03"	"你為時已晚。"
	"DCG_VO_lady_anshu_kill_rival_04"	"你半點機會都沒有。"
	"DCG_VO_lady_anshu_kill_rival_05"	"正義屬於我們。"
	"DCG_VO_lady_anshu_kill_rival_06"	"魯姆斯克屹立不搖！"
	"DCG_VO_lady_anshu_kill_rival_07"	"你一開始就不該來這裡。"
	"DCG_VO_lady_anshu_kill_rival_08"	"這裡不是你該來的地方！"
	"DCG_VO_lady_anshu_kill_rival_09"	"牧羊人會守護她的羊群。"
	"DCG_VO_lady_anshu_kill_rival_10"	"邪不勝正！"
	"DCG_VO_lady_anshu_use_include_01"	"別怕。"
	"DCG_VO_lady_anshu_use_include_02"	"你的勇氣將流於後世……"
	"DCG_VO_lady_anshu_use_include_03"	"安歇吧。"
	"DCG_VO_lady_anshu_unique_01"	"你不過是個信仰異端的假信徒，死靈法師。"
	"DCG_VO_lady_anshu_unique_02"	"你很快就會希望自己死於瘟疫守衛之手，羅坦德吉利。"
