"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"我知道你们有些人支持豺狼人的革命……相信瑞克斯的事业正义公平，相信加拉尼乌斯是个暴君，因此必须让他明白并非全世界都臣服于他。我明白你们的感受，但这一切都已经无关紧要了。瑞克斯立下誓约，用自己的灵魂和瑞斯托王庭交换摧毁石堂城的方法。加拉尼乌斯是个怪物吗？也许吧。但至少他还是个活人。我们不能在恶魔们屠杀石堂城的老幼妇孺时袖手旁观。我们会勇往直前。我们会全力奋战。没错，我们很多人会丧命，但我们不是愚昧地送死，而是别无他法……因为如果我们不去阻止这些亡者和魔鬼……还能有谁？"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	"死亡再自然不过了，我们对死亡的恐惧也是如此。但听我说完你就会明白：死亡不是可以杀死的怪物，也不是能用意志操纵的力量源泉，更不是任人差遣的奴隶。所以死亡找上门时，不要用恐惧来迎候它——因为你向死亡展示的恐惧，将会在爱你的人的悲痛中反映出来。不要这样做。最好是热情地迎候死亡……内心镇定而充满勇气，成为友人的榜样，这样你不在时，他们也会勇气十足。"
	"DCG_VO_lady_anshu_rumusque_scythe"	"亡者也许力量十足，但我们的信念更加强大。"
	"DCG_VO_lady_anshu_shield_of_st_crell"	"克莱拉，请保佑我们吧……在必死无疑时赐予我们力量，并给予我们智慧，以免重蹈覆辙。"
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"将邪恶之人赶尽杀绝。"
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"我将带来正义。"
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"我要保护生者……"
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"信徒将会受到保护。"
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"我不害怕战斗。"
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"我光彩夺目……"
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"我安全了……"
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"我不惧怕死亡。"
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"血战到底。"
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"我会战斗到底。"
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"完美。"
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"我正需要这个。"
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"我用得上这个。"
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"这个我用得上。"
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"很好。 "
	"DCG_VO_lady_anshu_kill_rival_01"	"我会为你祈祷。"
	"DCG_VO_lady_anshu_kill_rival_02"	"都结束了。"
	"DCG_VO_lady_anshu_kill_rival_03"	"对你来说，为时已晚。"
	"DCG_VO_lady_anshu_kill_rival_04"	"你半点机会都没有。"
	"DCG_VO_lady_anshu_kill_rival_05"	"正义属于我们。"
	"DCG_VO_lady_anshu_kill_rival_06"	"鲁姆斯克不会失败！"
	"DCG_VO_lady_anshu_kill_rival_07"	"你一开始就不该来这里。"
	"DCG_VO_lady_anshu_kill_rival_08"	"这里不是你该来的地方！"
	"DCG_VO_lady_anshu_kill_rival_09"	"牧羊人保护着她的羊群。"
	"DCG_VO_lady_anshu_kill_rival_10"	"邪不压正！"
	"DCG_VO_lady_anshu_use_include_01"	"別怕。"
	"DCG_VO_lady_anshu_use_include_02"	"你的勇气将被铭记……"
	"DCG_VO_lady_anshu_use_include_03"	"安歇吧。"
	"DCG_VO_lady_anshu_unique_01"	"你不过是个异教徒加伪神罢了，瘟疫法师。"
	"DCG_VO_lady_anshu_unique_02"	"你很快就会希望自己死于瘟疫守卫之手，罗坦德吉利。"
	"DCG_VO_lady_anshu_unique_03"	"我要把你腐烂的尸体归还大地。"
	"DCG_VO_lady_anshu_unique_04"	"就算为正义的一边而战，你也无法得到救赎，瘟疫法师。"
	"DCG_VO_lady_anshu_unique_05"	"与你一同作战让我恶心。"
	"DCG_VO_lady_anshu_unique_06"	"罗坦德吉利，你的救赎之路将无比漫长。"
	"DCG_VO_lady_anshu_unique_07"	"跟着我，我们战无不胜！"
	"DCG_VO_lady_anshu_unique_08"	"我们的远征才刚刚开始……"
	"DCG_VO_lady_anshu_unique_09"	"我们还有很多工作要做……"
	"DCG_VO_lady_anshu_unique_10"	"击垮不洁之人！"
	"DCG_VO_lady_anshu_unique_11"	"这个世界是活人的世界！"
	"DCG_VO_lady_anshu_unique_12"	"鲁姆斯克将永远与魔鬼对抗到底！"
	"DCG_VO_lady_anshu_unique_13"	"你对权力的追求终结于此，死灵大师……"
	"DCG_VO_lady_anshu_unique_14"	"死者应入土为安……"
	"DCG_VO_lady_anshu_unique_15"	"能与你并肩作战是种荣耀，克莱拉。"
	"DCG_VO_lady_anshu_unique_16"	"克莱拉，你来拯救我们了！"
	"DCG_VO_lady_anshu_unique_17"	"克莱拉，你回应了我们的祷告……"
	"DCG_VO_lady_anshu_unique_18"	"鼓起勇气，我的孩子。"
	"DCG_VO_lady_anshu_unique_19"	"也许你会在死亡中找到救赎……"
	"DCG_VO_lady_anshu_unique_20"	"克莱拉，你的确是我们所有人的榜样……"
	"DCG_VO_lady_anshu_healed_01"	"啊……"
	"DCG_VO_lady_anshu_healed_02"	"谢了。"
	"DCG_VO_lady_anshu_healed_03"	"非常感谢……"
	"DCG_VO_lady_anshu_healed_04"	"我感觉好多了……"
	"DCG_VO_lady_anshu_healed_05"	"谢谢。"
	"DCG_VO_lady_anshu_taunt_generic_01"	"我们必胜！"
	"DCG_VO_lady_anshu_taunt_generic_02"	"我们绝不会停止反抗！"
	"DCG_VO_lady_anshu_taunt_generic_03"	"我们的时刻到了！"
	"DCG_VO_lady_anshu_taunt_generic_04"	"胜利在望！"
	"DCG_VO_lady_anshu_taunt_generic_05"	"立即进攻！"
	"DCG_VO_lady_anshu_taunt_generic_06"	"净化不洁之人！"
	"DCG_VO_lady_anshu_taunt_generic_07"	"让他们屈服！"
	"DCG_VO_lady_anshu_taunt_generic_08"	"摧毁遗迹！"
	"DCG_VO_lady_anshu_taunt_generic_09"	"拆塔！"
	"DCG_VO_lady_anshu_taunt_generic_10"	"克莱拉，带领我们走向胜利吧！"
	"DCG_VO_lady_anshu_potential_kill_01"	"悔悟吧。"
