"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont always warns me about 'dabbling with things you don't understand'. Most of the time he's being a sanctimonious bastard... unfortunately sometimes he's right. Well, mostly right, I mean I've never died permanently. Ya know, now that I think about it, he's basically always just being a sanctimonious bastard."
"DCG_VO_vanessa_relentless_zombie"	"I morti si stanno risvegliando a Petalosa, Knogh... qualcuno ha sottoscritto il Giuramento."
"DCG_VO_vanessa_howling_mind"	"Non succede spesso, ma di tanto in tanto a un mago viene concesso di abbandonare la Tenuta Tyler... quando ciò accade, però, il mago in questione ne subirà le conseguenze per sempre."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim is the greatest wizard of all time. There is no question. There is no debate. No one is his equal. So when he vanished one day, we never wondered 'how' we wondered 'why.' Some say he feared for his life and ran into hiding, but I don't believe that for a second. You ask me, Aghanim is working on something. Something important. Something that will change the world."
"DCG_VO_vanessa_arcane_assault"	"Rubick dice di essere il figlio di Aghanim. Non ne sono certa, ma non ho intenzione di dirglielo in faccia."
"DCG_VO_vanessa_glyph_of_confusion"	"Il mondo, là fuori, è pieno di pericoli: quando una parte non indifferente dei suoi abitanti ti vuole morto, non puoi far altro che prendere le dovute contromisure preventive."
"DCG_VO_vanessa_the_tyler_estate"	"La maggior parte del mondo magico accetta l'autorità del Conclave di Zaffiro. Noi di Rosa Piangente, invece, abbiamo sviluppato una forma di autogoverno che risponde solo al Quorum, un senato formato da 31 potenti maghi. E anche se non abbiamo molte regole, le poche che abbiamo stabilito vengono seguite senza fare domande, perché in caso contrario finiremmo tutti alla Tenuta Tyler. "
"DCG_VO_ogre_bruiser_intro"	"Combattere è come frantumare un cranio con un tronco d'albero. Che analogia!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Life is a series of people trying to kill you. Kill them first."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Arma."
