"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Ich weiß, dass einige von euch die Vhoul-Rebellion unterstützt haben … dass ihr geglaubt habt, Rix’ Sache sei gerecht; und dass Galanius ein Tyrann sei, dem gezeigt werden müsse, dass die Welt nicht die seine sei. Ich verstehe, warum ihr so gefühlt habt. Das spielt keine Rolle mehr. Rix hat den Schwur geleistet; und im Austausch für seine Seele hat der Gerichtshof von Ristul ihm die Mittel gegeben, Steinhalle zu zerstören. Ist Galanius ein Monster? Vielleicht. Aber zumindest ist er unter den Lebenden. Wir werden nicht untätig bleiben, während Dämonen die Männer, Frauen und Kinder von Steinhalle massakrieren. Wir werden marschieren. Und wir werden kämpfen. Und ja, viele von uns werden sterben; aber wir bieten unser Leben nicht aus Narrheit, sondern aus Notwendigkeit an … Denn wenn wir die Toten und Verdammten nicht aufhalten, wer dann?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" Der Tod ist natürlich, ebenso wie unsere Angst davor. Aber hört mich jetzt an und versteht: Der Tod ist kein Monster, das man töten kann. Er ist weder eine Quelle der Macht, die sich eurem Willen beugt, noch ein Sklave, der euren Befehlen folgt. Wenn also der Tod euch holen kommt, dann begrüßt ihn nicht mit Angst – denn die Angst, die ihr dem Tod zeigt, wird sich in der Trauer derer widerspiegeln, die euch lieben. Nein. Es ist besser, den Tod warmherzig zu begrüßen … mit Haltung und Mut; seid euren Freunden ein Beispiel, damit auch sie in eurer Abwesenheit mutig sein können."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Die Toten mögen stark sein, aber unser Glaube ist stärker."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Wache über uns, Crella … Gib uns im Angesicht des sicheren Todes Kraft und die Weisheit, deine Torheit nicht zu wiederholen."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Die Sünder werden hingerichtet."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Ich werde für Gerechtigkeit sorgen."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Ich werde die Lebenden beschützen …"
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"Die Herde wird geschützt."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Ich habe keine Angst vor einem Kampf."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Ich bin verzückt …"
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Ich werde beschützt …"
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Ich fürchte den Tod nicht."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Ich werde nicht aufhören zu kämpfen."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Ich bin bis zum bitteren Ende dabei."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Perfekt."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"Das habe ich gebraucht."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Das sollte reichen."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Ich nehme es."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Gut. "
	"DCG_VO_lady_anshu_kill_rival_01"	"Ich werde für dich beten."
	"DCG_VO_lady_anshu_kill_rival_02"	"Es ist vorbei."
	"DCG_VO_lady_anshu_kill_rival_03"	"Es ist zu spät für dich."
	"DCG_VO_lady_anshu_kill_rival_04"	"Du hattest nie eine Chance."
	"DCG_VO_lady_anshu_kill_rival_05"	"Unser Anliegen ist gerecht."
	"DCG_VO_lady_anshu_kill_rival_06"	"Rumusque wird nicht scheitern!"
	"DCG_VO_lady_anshu_kill_rival_07"	"Du hättest niemals hierherkommen sollen."
	"DCG_VO_lady_anshu_kill_rival_08"	"Du gehörst nicht hierher!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Ein Schäfer beschützt seine Herde."
	"DCG_VO_lady_anshu_kill_rival_10"	"Das Böse wird niemals siegen."
	"DCG_VO_lady_anshu_use_include_01"	"Fürchte dich nicht."
	"DCG_VO_lady_anshu_use_include_02"	"Dein Mut wird stets in Erinnerung bleiben …"
	"DCG_VO_lady_anshu_use_include_03"	"Lege dich jetzt zur Ruhe."
	"DCG_VO_lady_anshu_unique_01"	"Du bist ein Ketzer und Scharlatan, Nekrophos."
