"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont und ich können uns auf nicht allzu viel einigen, aber er war weise genug, zu erkennen, dass man die Gesichtslose Leere lieber nicht verärgern sollte. Ich bin nicht sonderlich heiß auf den Claszureme-Vertrag, Chronomantik hat schließlich eine Menge Spaß gemacht, aber weißt du, was auch Spaß macht? Wenn deine Zeitlinie nicht ausgelöscht wird."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont warnt mich immer davor, mit Dingen zu spielen, die ich nicht verstehe. Die meiste Zeit über ist er zwar ein scheinheiliger Bastard … aber leider hat er manchmal auch recht. Nun ja, mehr oder weniger. Ich bin schließlich nie dauerhaft gestorben. Und wenn ich genauer darüber nachdenke, ist er eigentlich doch immer ein scheinheiliger Bastard."
"DCG_VO_vanessa_relentless_zombie"	"Die Toten erheben sich in Rosenblatt, Knogh … Jemand hat den Schwur geleistet."
"DCG_VO_vanessa_howling_mind"	"Es kommt nicht allzu oft vor, aber ab und an dürfen Zauberer das Tyler-Anwesen verlassen. Nur wenn sie das tun, ändert das sie für immer."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim ist der größte Zauberer aller Zeiten. Das steht völlig außer Frage und daran gibt es nichts zu rütteln. Niemand kommt ihm gleich. Als er eines Tages verschwand, fragten wir uns daher nie „wie“, sondern nur „warum“. Einige meinten, er fürchte um sein Leben und verstecke sich daher, aber ich habe das nicht mal einen Augenblick lang geglaubt. Ich denke, Aghanim arbeitet an etwas. An etwas Wichtigem. An etwas, das die Welt verändern wird."
"DCG_VO_vanessa_arcane_assault"	"Rubik behauptet, Aghanims Sohn zu sein. Ich bin mir nicht ganz sicher, ob ich das glauben soll, würde ihm das aber niemals ins Gesicht sagen."
"DCG_VO_vanessa_glyph_of_confusion"	"Die Welt da draußen ist fies. Wenn eine nicht unerhebliche Anzahl von Leuten dich tot sehen will, lernst du, Vorsichtsmaßnahmen zu ergreifen."
"DCG_VO_vanessa_the_tyler_estate"	"Der Großteil der magischen Welt erkennt die Autorität des Saphirkonklaves an. Wir in Trauerrose haben aber eine eigene Verwaltung und verantworten uns nur vor dem Quorum – einem Senat aus 31 mächtigen Zauberern. In Trauerrose gibt es zwar nicht sonderlich viele Regeln, aber die wenigen existierenden werden anstandslos befolgt. Tut man dies nämlich nicht, wird man ins Tyler-Anwesen geschickt. "
"DCG_VO_ogre_bruiser_intro"	"Kämpfen ist wie jemandes Schädel mit einem Baumstamm einzuschlagen. Das ist nur eine Analogie!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Das Leben besteht aus einer Abfolge von Leuten, die dich umbringen wollen. Bringe sie zuerst um."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Waffe."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Besser als eine Faust."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"Das ist kein Felsen, aber es wird reichen."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"Ich denke mal, dass ich das wie einen Baum schwinge."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>Tiefes Kichern</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"Ich kann nicht glauben, dass das passt …"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Niemand tötet mich."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Das hält das Blut drinnen."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"Ich lasse mich nicht gerne abstechen."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Ich werde länger leben."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Das hilft."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Danke."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"Ich seh so schick aus."
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Glänzend."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Hübsch."
"DCG_VO_ogre_bruiser_kill_rival_01"	"Ich werde dich vernichten!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Stirb!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"Ich zerbreche dich!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"Zack!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Hahahahaha!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"Das macht Spaß!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Ich hab‘s kaputtgemacht."
"DCG_VO_ogre_bruiser_kill_rival_08"	"Du bist so schnell gestorben."
"DCG_VO_ogre_bruiser_kill_rival_09"	"Bist du schon tot?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Pah!"
"DCG_VO_ogre_bruiser_use_include_01"	"Bereit zum Töten."
"DCG_VO_ogre_bruiser_use_include_02"	"Bereit für alles."
"DCG_VO_ogre_bruiser_use_include_03"	"Bereit für den Kampf."
"DCG_VO_ogre_bruiser_unique_01"	"Wo bekommt man einen zweiten Kopf her?"
"DCG_VO_ogre_bruiser_unique_02"	"Du bist so weise, Magier."
"DCG_VO_ogre_bruiser_unique_03"	"Es ist mir eine Ehre, Schädel für dich zu zerbrechen, Magier."
"DCG_VO_ogre_bruiser_unique_04"	"Wie ist es so in der Bronzenen Legion?"
"DCG_VO_ogre_bruiser_unique_05"	"Dein schickes Metalltattoo gefällt mir."
"DCG_VO_ogre_bruiser_unique_06"	"Du solltest Tresdin auffressen und Kommandant werden."
"DCG_VO_ogre_bruiser_unique_07"	"Du hast wirklich den Bogen raus mit diesen Leichen."
"DCG_VO_ogre_bruiser_unique_08"	"Du musst mir beibringen, wie man Leichen wirft."
"DCG_VO_ogre_bruiser_unique_09"	"Am besten gefällt mir der Teil, in dem du mit Leichen wirfst."
"DCG_VO_ogre_bruiser_unique_10"	"Schau dir mal diesen schicken Grubenkämpfer an!"
"DCG_VO_ogre_bruiser_unique_11"	"Hältst du dich für etwas Besseres, nur weil du diese ganzen schlauen Worte kennst?"
"DCG_VO_ogre_bruiser_unique_12"	"Ein Oger braucht nur zwei Arme, um dich zu töten, Leichenmann!"
"DCG_VO_ogre_bruiser_unique_13"	"Nette Frisur."
"DCG_VO_ogre_bruiser_unique_14"	"Du bist hübsch, Maid. Hoffentlich zertrümmert dir niemand den Schädel."
"DCG_VO_ogre_bruiser_unique_15"	"Ich kämpfe für das Licht."
"DCG_VO_ogre_bruiser_unique_16"	"Dank des Lichts hat mein Leben einen Sinn!"
"DCG_VO_ogre_bruiser_unique_17"	"Danke, dass du mir den Weg zeigst, Prellex."
"DCG_VO_ogre_bruiser_unique_18"	"Ich kämpfe für die Finsternis."
"DCG_VO_ogre_bruiser_unique_19"	"Dank der Finsternis hat mein Leben einen Sinn!"
"DCG_VO_ogre_bruiser_unique_20"	"Danke, dass du mir den Weg zeigst, Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Ahhh!"
"DCG_VO_ogre_bruiser_healed_02"	"Gut."
"DCG_VO_ogre_bruiser_healed_03"	"Immer noch im Kampf."
"DCG_VO_ogre_bruiser_healed_04"	"Ich halte auch noch mehr Bestrafung aus …"
"DCG_VO_ogre_bruiser_healed_05"	"Du bist nett."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Vernichtet sie!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Zerstört den Turm!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Vernichtet den Uralten!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Lasst keinen Stein auf dem anderen!"
