"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮尔庞特与我时常意见相左，但是他很聪明，知道激怒虚空假面有多危险。我不是很喜欢超维视界条约，因为操纵时空很好玩。但你知道还有什么更好玩吗？就是不让自己的时间线被抹去。"
"DCG_VO_vanessa_whispers_of_madness"	"皮尔庞特老是警告我说“不要去搅和你不懂的事情”。大部分时间他是个假圣人真混蛋……但是有时候他是对的。怎么说呢，大概上是对的，毕竟我还没有真的死透。其实现在回想起来，他基本上就是个假圣人真混蛋。"
"DCG_VO_vanessa_relentless_zombie"	"诺格，玫叶城里死人复生……有人拿走了誓约。"
"DCG_VO_vanessa_howling_mind"	"虽然很少发生，但偶尔会有法师获准离开泰勒庄园……不过通常他们离开的时候，已经不再是从前的自己，也无法挽回了。"
"DCG_VO_vanessa_aghanims_sanctum"	"阿哈利姆是有史以来最伟大的法师，毫无疑问，毫无争议，无人能出其右。所以当他某一天忽然消失时，我们不好奇他“如何”消失，而是好奇他“为何”消失。有人说他贪生怕死所以躲了起来，但是我从来都不相信。如果你问我的话，我会说阿哈利姆肯定在计划什么事情，非常重要，可以改变世界的事情。"
"DCG_VO_vanessa_arcane_assault"	"拉比克自称是阿哈利姆之子，我不太相信，但我当然不会当着他的面说。"
"DCG_VO_vanessa_glyph_of_confusion"	"这世界很残酷，当之中不少人想要你的命时，你自然会学会如何防范。"
"DCG_VO_vanessa_the_tyler_estate"	"几乎整个魔法世界都承认蓝宝石教团的权威，但在悲玫城，我们自己管理自己，只听命于由三十一位强大法师议员所组成的评议团。尽管悲玫城没有那么多繁文缛节，但是仍然有几项我们必须严守的规定，一旦违反就会被送去泰勒庄园。"
"DCG_VO_ogre_bruiser_intro"	"打架就是拿根树干打烂人脑袋。我是打个比方！"
"DCG_VO_ogre_brusier_fighting_instinct"	"人生就是一堆人想来杀你，你要先下手为强。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"武器。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"比拳头更硬。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"虽然不是大石头，但也能凑合用。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"我觉得用起来手感和大树差不多。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>低声轻笑</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"我竟然能穿得上这个……"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"谁也杀不掉我了。"
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"这样血就不会流出来了。"
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"我不喜欢被别人捅刀子。"
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"我可以活得更久了。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"这个很有用。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"谢谢。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"我戴着真漂亮。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"闪闪发光。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"真好看。"
"DCG_VO_ogre_bruiser_kill_rival_01"	"我要踩死你！"
"DCG_VO_ogre_bruiser_kill_rival_02"	"去死吧！"
"DCG_VO_ogre_bruiser_kill_rival_03"	"我要把你砸烂！"
"DCG_VO_ogre_bruiser_kill_rival_04"	"砸呀！"
"DCG_VO_ogre_bruiser_kill_rival_05"	"哈哈哈哈哈"
"DCG_VO_ogre_bruiser_kill_rival_06"	"真好玩！"
"DCG_VO_ogre_bruiser_kill_rival_07"	"我成功了。"
"DCG_VO_ogre_bruiser_kill_rival_08"	"你这么快就死了。"
"DCG_VO_ogre_bruiser_kill_rival_09"	"已经死了吗？"
"DCG_VO_ogre_bruiser_kill_rival_10"	"呸！"
"DCG_VO_ogre_bruiser_use_include_01"	"可以去杀人了。"
"DCG_VO_ogre_bruiser_use_include_02"	"万事俱备。"
"DCG_VO_ogre_bruiser_use_include_03"	"准备战斗。"
"DCG_VO_ogre_bruiser_unique_01"	"怎么才能再长一颗头呢？"
"DCG_VO_ogre_bruiser_unique_02"	"你真聪明，魔法师。"
"DCG_VO_ogre_bruiser_unique_03"	"魔法师，能帮你打烂敌人的脑袋，我很荣幸。"
"DCG_VO_ogre_bruiser_unique_04"	"古铜军团是什么样的？"
"DCG_VO_ogre_bruiser_unique_05"	"我喜欢你别致的金属纹身。"
"DCG_VO_ogre_bruiser_unique_06"	"你应该把特蕾丝汀吃掉，自己当指挥官。"
"DCG_VO_ogre_bruiser_unique_07"	"你扔尸体的时候弧线扔得好漂亮。"
"DCG_VO_ogre_bruiser_unique_08"	"你一定要教教我怎么扔尸体。"
"DCG_VO_ogre_bruiser_unique_09"	"我最喜欢看你扔尸体了。"
"DCG_VO_ogre_bruiser_unique_10"	"看呀，了不起的绝命斗士来了。"
"DCG_VO_ogre_bruiser_unique_11"	"你以为靠吹牛就能打得过我吗？"
"DCG_VO_ogre_bruiser_unique_12"	"食人魔只用两条胳膊就能杀死你，死人！"
"DCG_VO_ogre_bruiser_unique_13"	"我喜欢你的头发。"
