"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Sei que alguns de vocês apoiaram a rebelião vhoul e acreditavam que a causa de Rix era justa. Também sei que Galânio era um tirano que precisava entender que o mundo não era dele. Entendo vocês pensarem assim, mas isso já não importa. Rix fez o Juramento. Em troca da alma dele, a Corte de Ristul lhe deu o que ele precisava para destruir o Corredor de Pedra. Seria Galânio um monstro? Talvez. Mas, pelo menos, está vivo. Não ficaremos parados enquanto demônios dizimam homens, mulheres e crianças do Corredor de Pedra. Marcharemos e lutaremos. E sim, muitos de nós morreremos, mas não oferecemos as nossas vidas porque somos tolos, e sim porque precisamos... Porque, se não impedirmos os mortos e os malditos, quem o fará?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" A morte é natural, assim como é natural temê-la. Mas escute-me e entenda: a morte não é um monstro que possa ser abatido, uma fonte de poder que possa ser alterada a seu bel-prazer ou algo escravizado que possa receber ordens. Então, quando a morte vier ao seu encontro, acolha-a em vez de temê-la, pois o medo que você demonstrar será refletido no sofrimento daqueles que o amam. Não faça isso. É melhor acolher a morte com todo o carinho possível... com compostura e coragem. Seja um exemplo para os seus amigos para que eles sejam corajosos na sua ausência."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Os mortos podem ser fortes, mas a nossa fé é mais."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Nos proteja, Crella... Nos dê força perante à morte iminente e nos dê a sabedoria para não repetir os seus erros tolos."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Os perversos serão abatidos."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Eu trarei justiça para cá."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Eu protejerei os vivos..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"O rebanho será protegido."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Não tenho medo de lutar."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Estou adornada..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Eu estou protegida..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Eu não tenho medo da morte."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Não vou parar de lutar."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Lutarei até o fim."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Perfeito."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"Eu estava precisando."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Vai funcionar."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Vai ser útil."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Ótimo."
	"DCG_VO_lady_anshu_kill_rival_01"	"Vou orar por você."
	"DCG_VO_lady_anshu_kill_rival_02"	"Acabou."
	"DCG_VO_lady_anshu_kill_rival_03"	"Já era para você."
	"DCG_VO_lady_anshu_kill_rival_04"	"Você nunca teve chance."
	"DCG_VO_lady_anshu_kill_rival_05"	"A nossa causa é justa."
