"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Bazılarınızın Vhoul isyanını desteklemiş olduğunu, Rix'in davasının haklı olduğunu düşündüğünü ve Galanius'a, bu dünyanın ona ait olmadığını hatırlatacak şekilde haddinin bildirilmesi gerektiğini düşündüğünüzü biliyorum. Ancak bunların artık bir önemi yok. Rix Yemin etti ve Ristul Meclisi ona ruhunun karşılığında Taş Salon'u yok edecek gücü verdi. Galanius bir canavar mı? Mümkün. Fakat en azından o yaşayanlar âleminden. İblisler Taş Salon'un kadınlarını, erkeklerini ve çocuklarını katlederken buna seyirci kalmayacağız. Üstlerine gideceğiz. Ve savaşacağız. Birçoğumuz ölecek fakat hayatlarımızı bir aptallık uğruna değil mecburiyet uğruna vereceğiz... Zira ölüleri ve lanetlileri biz durdurmazsak... Başka kim durduracak?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" Ölüm ve ölümden korkmak kadar doğal bir şey yok. Fakat şimdi sözlerime iyice kulak verin: Ölüm, öldürebileceğimiz bir canavar değil. Ölüm, kendi adınıza kullanabileceğiniz veya köleniz yapabileceğiniz bir güç kaynağı değil. Ölüm sizin için geldiyse onu korkuyla karşılamayın zira ölüm karşısında sergileyeceğiniz korku, sevdiklerinize ızdırap olarak geri döner. Ölümü kollarınızı açarak... Dik durarak ve cesaretle karşılayın; dostlarınıza böyle örnek olun ki yokluğunuzda onlar da cesur davranabilsin."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Ölüm güçlü olabilir fakat inancımız çok daha güçlü."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Bizi koru Crella... Bize mutlak ölümle yüzleşebilmemiz için güç, hatalarımızı tekrar etmememiz için irfan ver."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Kötüler ölecek."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Adalet getireceğim."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Canlıları koruyacağım..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"Cemaat korunacak."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Dövüşten korkmuyorum."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Zırhla bezendim..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Korunuyorum..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Ölümden korkmuyorum."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Savaşmayı bırakmayacağım."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Bu davayı ölene dek savunacağım."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Mükemmel."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"Buna ihtiyacım vardı."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Bu işe yarar."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Bunu kullanacağım."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Güzel."
	"DCG_VO_lady_anshu_kill_rival_01"	"Senin için dua edeceğim."
	"DCG_VO_lady_anshu_kill_rival_02"	"Bitti."
	"DCG_VO_lady_anshu_kill_rival_03"	"Senin için artık çok geç."
	"DCG_VO_lady_anshu_kill_rival_04"	"Hiç şansın olmadı."
	"DCG_VO_lady_anshu_kill_rival_05"	"Davamız haklı."
	"DCG_VO_lady_anshu_kill_rival_06"	"Rumusque başarısız olmayacak!"
