"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"ヴールの反乱を支持する者たちがいることは知っている…あなたがリックスの主張が正しいと信じていることも、ガラニウスが暴君で、世界は彼のものではないということを示す必要があったことも理解している。だが、そんなことはもうどうでもよい。リックスは「誓い」を立てた。リストゥールの宮廷は、魂と引き換えに、リックスにストーンホールを破壊する手段を与えた。ガラニウスは怪物なのか？そうかもしれない。しかし、少なくとも彼は生を得た者だ。悪魔がストーンホールの男や女や子供たちを虐殺するのを、黙って見ているわけにはいかない。我々は進軍する。そして戦うのだ。当然、多くの者が死ぬだろう。しかし、我々が命を捧げるのは、愚かさ故ではない。それが必要だからだ…我々が死者や呪われた者たちを止めなければ…一体誰が止めるのだ？"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	"死も、死に対する恐怖も、自然なことだ。しかし、今は私の話に耳を傾け、理解して欲しい。死とは倒せる怪物ではない。死は人の意思を曲げることができる力の源でも、命令に従う奴隷でもない。死を恐れれば、それはあなたを愛する者たちに悲しみとしてふりかかる。だから、死が訪れたら、恐れずに迎えるのだ。いや、むしろ、暖かく…落ち着きと勇気を持って迎え、仲間たちのよい手本となって欲しい。あなたの死後も彼らが勇気を持てるように。"
	"DCG_VO_lady_anshu_rumusque_scythe"	"死者は強いが、我々の信仰はもっと強い。"
	"DCG_VO_lady_anshu_shield_of_st_crell"	"聖クレラよ、我々をお見守りください…死に直面する我々に力を。愚行を繰り返さぬよう知恵をお与えください。"
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"悪は滅びる。"
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"私が正義をもたらす。"
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"私は命を守る..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"信徒は守られる。"
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"戦いなど恐れぬ。"
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"私を引き立てる..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"私は守られている…"
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"死など恐れてはない。"
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"私は戦い続ける。"
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"命尽きるまで戦い続ける。"
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"完璧だ。"
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"これが必要だった。"
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"これは使えそうだ。"
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"これは役に立ちそうだ。"
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"よろしい。"
	"DCG_VO_lady_anshu_kill_rival_01"	"祈りを捧げよう。"
	"DCG_VO_lady_anshu_kill_rival_02"	"もうお終いだ。"
	"DCG_VO_lady_anshu_kill_rival_03"	"少し遅かった。"
	"DCG_VO_lady_anshu_kill_rival_04"	"お前に勝ち目などなかった。"
	"DCG_VO_lady_anshu_kill_rival_05"	"正義のため。"
	"DCG_VO_lady_anshu_kill_rival_06"	"ラミュスクは敗れはしない！"
	"DCG_VO_lady_anshu_kill_rival_07"	"ここに来るべきではなかった。"
	"DCG_VO_lady_anshu_kill_rival_08"	"ここはお前の来る場所ではない。"
	"DCG_VO_lady_anshu_kill_rival_09"	"羊飼いは群れを守る。"
	"DCG_VO_lady_anshu_kill_rival_10"	"悪は滅びる。"
	"DCG_VO_lady_anshu_use_include_01"	"恐れるな。"
	"DCG_VO_lady_anshu_use_include_02"	"勇気ある者として名を残すだろう…"
	"DCG_VO_lady_anshu_use_include_03"	"休むがよい。"
	"DCG_VO_lady_anshu_unique_01"	"異端者でペテン師のネクロフォス。"
	"DCG_VO_lady_anshu_unique_02"	"ロタンドジェレよ、疫病ワードで死んだ方がマシだと思わせてやろう。"
	"DCG_VO_lady_anshu_unique_03"	"お前の腐った体を土に還す。"
	"DCG_VO_lady_anshu_unique_04"	"たった1度味方として戦っただけで贖うことができたと思うな、ネクロフォス。"
	"DCG_VO_lady_anshu_unique_05"	"お前と共に戦うというだけで気分が悪くなる。"
