"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"So che alcuni di voi hanno sostenuto la ribellione Vhoul... Credevate che la causa di Rix fosse giusta e che Galanius fosse un tiranno che doveva capire che il mondo non era suo. Capisco perché vi siete sentiti così. Non ha più importanza. Rix ha fatto il Giuramento e, in cambio della sua anima, la Corte di Ristul gli ha dato i mezzi per distruggere Borgolitio. Galanius è un mostro? Può essere. Ma almeno è un mostro dei vivi. Non resteremo a guardare mentre i demoni macellano gli uomini, le donne e i bambini di Borgolitio. Marceremo. E combatteremo. E sì, molti di noi moriranno, ma offriamo la nostra vita non per follia ma per necessità. Perché se non fermiamo i morti e i dannati, chi lo farà?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" La morte è naturale, così come la paura che ne abbiamo. Ma ascoltami ora e capisci: la morte non è un mostro che può essere ucciso. Non è una fonte di potere che può essere piegata alla tua volontà, né uno schiavo che seguirà il tuo ordine. Quindi, quando la morte verrà per te, salutala non con la paura, perché la paura che mostri sarà rispecchiata nel dolore mostrato da coloro che ti amano. No. Salutala calorosamente con equilibrio e coraggio per essere un esempio per i tuoi amici, in modo che anche loro possano essere coraggiosi in tua assenza."
	"DCG_VO_lady_anshu_rumusque_scythe"	"La morte è forte, ma la nostra fede lo è ancor di più."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Veglia su di noi, Crella. Dacci forza di fronte a morte certa e saggezza per non ripetere la tua follia."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"I malvagi verranno uccisi."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Porterò giustizia."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Proteggerò i vivi..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"Il gregge sarà protetto."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Non ho paura di combattere."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Sono adornata..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Sono protetta..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Non ho paura della morte."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Non smetterò di combattere."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Non mi arrenderò fino alla fine."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Perfetto."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"Mi serviva proprio."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Andrà benissimo."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Ne farò buon uso."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Bene. "
	"DCG_VO_lady_anshu_kill_rival_01"	"Pregherò per te."
	"DCG_VO_lady_anshu_kill_rival_02"	"È finita."
	"DCG_VO_lady_anshu_kill_rival_03"	"È troppo tardi per te."
	"DCG_VO_lady_anshu_kill_rival_04"	"Non avevi alcuna possibilità."
	"DCG_VO_lady_anshu_kill_rival_05"	"La nostra causa è giusta."
	"DCG_VO_lady_anshu_kill_rival_06"	"I Rumusque non falliranno!"
	"DCG_VO_lady_anshu_kill_rival_07"	"Non saresti mai dovuto venire qui."
	"DCG_VO_lady_anshu_kill_rival_08"	"Il tuo posto non è qui!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Un pastore protegge il suo gregge."
	"DCG_VO_lady_anshu_kill_rival_10"	"Il male non vincerà mai."
	"DCG_VO_lady_anshu_use_include_01"	"Non avere paura."
	"DCG_VO_lady_anshu_use_include_02"	"Sarai ricordato per il tuo coraggio..."
	"DCG_VO_lady_anshu_use_include_03"	"Riposati, ora."
	"DCG_VO_lady_anshu_unique_01"	"Necrophos, sei un eretico e un ciarlatano."
	"DCG_VO_lady_anshu_unique_02"	"Ti ritroverai a desiderare di essere morto con gli altri malati di peste, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Restituirò il tuo corpo decomposto alla terra"
	"DCG_VO_lady_anshu_unique_04"	"Necrophos, schierarti dalla parte giusta di una battaglia non ti redime."
	"DCG_VO_lady_anshu_unique_05"	"Lottare al tuo fianco mi fa orrore."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, la tua marcia verso la redenzione sarà lunga."
	"DCG_VO_lady_anshu_unique_07"	"Seguimi, insieme non falliremo."
	"DCG_VO_lady_anshu_unique_08"	"Questo è solo l'inizio della nostra crociata..."
	"DCG_VO_lady_anshu_unique_09"	"Abbiamo molto lavoro da fare..."
	"DCG_VO_lady_anshu_unique_10"	"Punite gli infedeli!"
	"DCG_VO_lady_anshu_unique_11"	"Questo mondo appartiene ai vivi!"
	"DCG_VO_lady_anshu_unique_12"	"I Rumusque combatteranno sempre contro i dannati!"
	"DCG_VO_lady_anshu_unique_13"	"La tua scalata al potere termina qui, necromante..."
	"DCG_VO_lady_anshu_unique_14"	"I morti dovrebbero rimanere sepolti..."
	"DCG_VO_lady_anshu_unique_15"	"È un onore combattere al tuo fianco, Crella."
	"DCG_VO_lady_anshu_unique_16"	"Crella, sei venuta a liberarci!"
	"DCG_VO_lady_anshu_unique_17"	"Crella, hai risposto alle nostre preghiere..."
	"DCG_VO_lady_anshu_unique_18"	"Sii coraggioso, figlio mio"
	"DCG_VO_lady_anshu_unique_19"	"Forse in punto di morte puoi trovare redenzione..."
	"DCG_VO_lady_anshu_unique_20"	"Sei un esempio per tutti, Crella..."
	"DCG_VO_lady_anshu_healed_01"	"ahhh"
	"DCG_VO_lady_anshu_healed_02"	"grazie."
	"DCG_VO_lady_anshu_healed_03"	"mille grazie..."
	"DCG_VO_lady_anshu_healed_04"	"Mi sento meglio..."
