"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont et moi ne sommes pas d’accord sur beaucoup de choses, mais je dois admettre qu’il a raison de craindre la colère du Sans-visage. Le traité de Claszureme ne m'enchante guère... la chronomancie c’est bien, mais vous savez ce qui est encore mieux ? Ne pas voir son existence entièrement effacée."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont n’arrête pas de me répéter qu’il ne faut pas toucher aux choses qui nous dépassent. La plupart du temps, c’est juste son côté moralisateur à la con qui parle… mais ça lui arrive d’avoir raison, enfin, plus ou moins. Parce qu’en général je ne reste jamais morte très longtemps. En fait, maintenant que j'y pense, c’est toujours un moralisateur à la con."
"DCG_VO_vanessa_relentless_zombie"	"Les morts se relèvent à Rosefoliole, Knogh… Quelqu’un a prêté serment à Ténébris."
"DCG_VO_vanessa_howling_mind"	"Ça n'arrive pas souvent, mais de temps en temps, un sorcier est libéré du domaine de Tyler... Ils en sortent irrémédiablement changés."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim est le plus grand sorcier de tous les temps.  Il n'y a aucun doute là-dessus.  Aucun débat à avoir. Il est sans égal. C'est pour ça que le jour où il a disparu, on ne s'est jamais demandé comment il avait disparu mais pourquoi. Certains disent qu'il craignait pour sa vie et qu’il a décidé de se cacher mais je n’y crois pas une seconde. À mon avis, Aghanim travaille sur quelque chose.  Quelque chose d'important.  Quelque chose qui va changer le monde."
"DCG_VO_vanessa_arcane_assault"	"Rubick affirme être le fils d'Aghanim. Ça m’étonnerait, mais je ne compte certainement pas le lui dire en personne."
"DCG_VO_vanessa_glyph_of_confusion"	"On vit dans un monde dangereux et quand un pourcentage non négligeable de ses habitants veut ta mort, tu apprends à prendre certaines mesures de précautions."
"DCG_VO_vanessa_the_tyler_estate"	"L'essentiel du monde magique reconnaît l'autorité du Conclave de saphir. Mais à la Rose éplorée, on s'autogouverne et on ne répond qu'au Quorum, un sénat de 31 puissants sorciers. Il y a peu de règles à la Rose éplorée, mais elles sont respectées à la lettre : à la moindre infraction, on est envoyé au domaine de Tyler."
"DCG_VO_ogre_bruiser_intro"	"Le combat, c'est comme quand on éclate le crâne de quelqu'un avec un tronc d'arbre. C'est une analogie !"
"DCG_VO_ogre_brusier_fighting_instinct"	"La vie, c'est une suite de personnes qui cherchent à te tuer. À toi de les tuer avant."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Arme."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"C'est mieux que le poing."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"C'est pas un rocher, mais ça fera l'affaire."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"Je crois que ça s’utilise comme un tronc d’arbre."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>Gloussements</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"J’arrive pas à croire que je rentre dedans…"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Personne peut me tuer."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Ça, ça sert à garder le sang à l’intérieur."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"J'aime pas me faire poignarder."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Je survivrai plus longtemps."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"C'est utile."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Merci."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"J’ai trop la classe !"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Ça brille."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Joli."
"DCG_VO_ogre_bruiser_kill_rival_01"	"Je vais te broyer !"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Meurs !"
"DCG_VO_ogre_bruiser_kill_rival_03"	"Je vais te réduire en bouillie !"
"DCG_VO_ogre_bruiser_kill_rival_04"	"Prends ça !"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Ha ha ha ha ha !"
"DCG_VO_ogre_bruiser_kill_rival_06"	"C'est marrant !"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Oh, cassé !"
"DCG_VO_ogre_bruiser_kill_rival_08"	"T’es mort vachement vite..."
"DCG_VO_ogre_bruiser_kill_rival_09"	"T’es déjà mort ?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Baah !"
"DCG_VO_ogre_bruiser_use_include_01"	"Prêt à tuer."
"DCG_VO_ogre_bruiser_use_include_02"	"Prêt à tout."
"DCG_VO_ogre_bruiser_use_include_03"	"Prêt pour le combat."
"DCG_VO_ogre_bruiser_unique_01"	"Je peux avoir une deuxième tête moi aussi ?"
"DCG_VO_ogre_bruiser_unique_02"	"T'es d'une grande sagesse, ô mage."
"DCG_VO_ogre_bruiser_unique_03"	"C'est un honneur de briser des crânes pour toi, ô mage."
"DCG_VO_ogre_bruiser_unique_04"	"C'est comment la Légion de bronze ?"
"DCG_VO_ogre_bruiser_unique_05"	"J'aime bien ton joli tatouage en métal."
"DCG_VO_ogre_bruiser_unique_06"	"Tu devrais manger Tresdin et prendre le commandement."
"DCG_VO_ogre_bruiser_unique_07"	"T’arrives bien à faire voler les cadavres."
"DCG_VO_ogre_bruiser_unique_08"	"Apprends-moi à lancer des cadavres."
"DCG_VO_ogre_bruiser_unique_09"	"Moi ce que je préfère c’est quand tu jettes les cadavres."
"DCG_VO_ogre_bruiser_unique_10"	"Oh, regarde-moi ce joli combattant."
"DCG_VO_ogre_bruiser_unique_11"	"Tu te crois mieux que moi parce que t’utilises des grands mots ?"
"DCG_VO_ogre_bruiser_unique_12"	"Un ogre a juste besoin de deux bras pour te tuer, espèce de cadavre !"
"DCG_VO_ogre_bruiser_unique_13"	"J’aime bien tes cheveux."
"DCG_VO_ogre_bruiser_unique_14"	"T’es gentille, Vierge de cristal. Pourvu que personne te fracasse le crâne !"
"DCG_VO_ogre_bruiser_unique_15"	"Je me bats pour l’Éclat."
"DCG_VO_ogre_bruiser_unique_16"	"Que l'Éclat me guide !"
"DCG_VO_ogre_bruiser_unique_17"	"Merci de m'avoir montré la voie, Prellex."
"DCG_VO_ogre_bruiser_unique_18"	"Je me bats pour l’Obscur."
"DCG_VO_ogre_bruiser_unique_19"	"Que l'Obscur me guide !"
"DCG_VO_ogre_bruiser_unique_20"	"Merci de m'avoir montré la voie, Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Aaah"
"DCG_VO_ogre_bruiser_healed_02"	"Parfait."
