"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont always warns me about 'dabbling with things you don't understand'. Most of the time he's being a sanctimonious bastard... unfortunately sometimes he's right. Well, mostly right, I mean I've never died permanently. Ya know, now that I think about it, he's basically always just being a sanctimonious bastard."
"DCG_VO_vanessa_relentless_zombie"	"The dead are rising in Roseleaf, Knogh...someone took the Oath."
"DCG_VO_vanessa_howling_mind"	"It doesn't happen often, but every now and again a wizard is allowed to leave the Tyler Estate... though when they do they are irreparably changed."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim is the greatest wizard of all time. There is no question. There is no debate. No one is his equal. So when he vanished one day, we never wondered 'how' we wondered 'why.' Some say he feared for his life and ran into hiding, but I don't believe that for a second. You ask me, Aghanim is working on something. Something important. Something that will change the world."
"DCG_VO_vanessa_arcane_assault"	"Rubick claims to be Aghanim's son. I'm not sure I believe it, but I certainly wouldn't say that to Rubick's face."
"DCG_VO_vanessa_glyph_of_confusion"	"It is a nasty world out there, and when a non-trivial percentage of it would like to see you dead you learn to take certain precautionary measures."
"DCG_VO_vanessa_the_tyler_estate"	"Most of the magical world acknowledges the authority of the Sapphire Conclave. But in Weeping Rose, we govern ourselves, answering only to the Quorum, a senate of 31 powerful wizards. And while Weeping Rose is not home to many rules, the few we have are obeyed without question. Because to fail to do so is to be sent to the Tyler Estate."
"DCG_VO_ogre_bruiser_intro"	"Fighting is like crushing someone's skull with a tree trunk. That's an analogy!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Life is a series of people trying to kill you. Kill them first."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Weapon."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Better than a fist."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"It's not a rock, but it'll do."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"I think I swing it like a tree."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>low chuckle</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"I can't believe this fits..."
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"No one is killing me."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"This keeps the blood inside."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"I don't like getting stabbed."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"I'll live longer."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"This helps."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Thanks."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"I look so fancy."
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Shiny."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Pretty."
"DCG_VO_ogre_bruiser_kill_rival_01"	"I'll crush you!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Die!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"I break you!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"Smash!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Hahahahaha!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"This is fun!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"I broke it."
"DCG_VO_ogre_bruiser_kill_rival_08"	"You died so soon."
"DCG_VO_ogre_bruiser_kill_rival_09"	"Dead already?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Bah!"
"DCG_VO_ogre_bruiser_use_include_01"	"Ready to kill."
"DCG_VO_ogre_bruiser_use_include_02"	"Ready for anything."
"DCG_VO_ogre_bruiser_use_include_03"	"Ready to fight."
"DCG_VO_ogre_bruiser_unique_01"	"How do I get a second head?"
"DCG_VO_ogre_bruiser_unique_02"	"You're so wise Magi."
"DCG_VO_ogre_bruiser_unique_03"	"It's an honor to break skulls for you Magi."
"DCG_VO_ogre_bruiser_unique_04"	"What's it like in the Bronze Legion?"
"DCG_VO_ogre_bruiser_unique_05"	"I like your fancy metal tattoo."
"DCG_VO_ogre_bruiser_unique_06"	"You should eat Tresdin and become Commander."
"DCG_VO_ogre_bruiser_unique_07"	"You really know how to get a good arc with those corpses."
"DCG_VO_ogre_bruiser_unique_08"	"You gotta teach me how to toss some bodies."
"DCG_VO_ogre_bruiser_unique_09"	"My favorite part is when you throw the dead bodies."
"DCG_VO_ogre_bruiser_unique_10"	"Well look at the fancy pit fighter."
"DCG_VO_ogre_bruiser_unique_11"	"You think cause you know all them big words you're better than me?"
"DCG_VO_ogre_bruiser_unique_12"	"Ogre only needs two arm to kill you, corpse man!"
"DCG_VO_ogre_bruiser_unique_13"	"I like your hair."
"DCG_VO_ogre_bruiser_unique_14"	"You're nice Maiden. I hope no one crushes your skull."
"DCG_VO_ogre_bruiser_unique_15"	"I fight for the Radiant."
"DCG_VO_ogre_bruiser_unique_16"	"The Radiant give me purpose!"
"DCG_VO_ogre_bruiser_unique_17"	"Thanks for showing me the way Prellex."
"DCG_VO_ogre_bruiser_unique_18"	"I fight for the Dire."
"DCG_VO_ogre_bruiser_unique_19"	"The Dire give me purpose!"
"DCG_VO_ogre_bruiser_unique_20"	"Thanks for showing me the way Kanna."
"DCG_VO_ogre_bruiser_healed_01"	"Ahhh"
"DCG_VO_ogre_bruiser_healed_02"	"Good."
"DCG_VO_ogre_bruiser_healed_03"	"Still in the fight."
"DCG_VO_ogre_bruiser_healed_04"	"I can take more punishment.."
"DCG_VO_ogre_bruiser_healed_05"	"You're nice."
"DCG_VO_ogre_bruiser_taunt_generic_01"	"Crush them!"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"Destroy the tower!"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"Destroy the ancient!"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"Leave nothing standing!"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"Show them our strength!"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"Burn it all!"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"Smash them!"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"We will win!"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"They can't stop us!"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"To battle!"
"DCG_VO_ogre_bruiser_potential_kill_01"	"I got you."
"DCG_VO_ogre_bruiser_potential_kill_02"	"You're dead."
"DCG_VO_ogre_bruiser_potential_kill_03"	"I'm going to eat your corpse..."
"DCG_VO_ogre_bruiser_potential_kill_04"	"There's no escape."
"DCG_VO_ogre_bruiser_potential_kill_05"	"You die now."
"DCG_VO_ogre_bruiser_potential_save_01"	"Ha!"
"DCG_VO_ogre_bruiser_potential_save_02"	"No way."
"DCG_VO_ogre_bruiser_potential_save_03"	"I'm not dyin' here..."
"DCG_VO_ogre_bruiser_potential_save_04"	"You can't kill me."
"DCG_VO_ogre_bruiser_potential_save_05"	"You're not better than me."
"DCG_VO_ogre_bruiser_permanent_armor_01"	"My skin is tough."
"DCG_VO_ogre_bruiser_permanent_armor_02"	"Let's see them try to stab me."
"DCG_VO_ogre_bruiser_permanent_armor_03"	"They won't hurt me."
"DCG_VO_ogre_bruiser_permanent_armor_04"	"I'm not worried about some creeps..."
"DCG_VO_ogre_bruiser_permanent_armor_05"	"I was made for war."
"DCG_VO_ogre_bruiser_permanent_attack_01"	"I'm stronger."
"DCG_VO_ogre_bruiser_permanent_attack_02"	"No one is stronger than me."
"DCG_VO_ogre_bruiser_permanent_attack_03"	"Stronger than ever."
"DCG_VO_ogre_bruiser_permanent_attack_04"	"I feel powerful."
"DCG_VO_ogre_bruiser_permanent_attack_05"	"The power!"
"DCG_VO_ogre_bruiser_permanent_health_01"	"It takes a lot to kill me."
"DCG_VO_ogre_bruiser_permanent_health_02"	"I'm not going anywhere."
"DCG_VO_ogre_bruiser_permanent_health_03"	"I will not fall!"
"DCG_VO_ogre_bruiser_permanent_health_04"	"No one will kill me!"
"DCG_VO_ogre_bruiser_permanent_health_05"	"It's important to stay healthy. That way you can kill more people."
"DCG_VO_ogre_bruiser_cast_spell_01"	"I know some Ogre magic..."
"DCG_VO_ogre_bruiser_cast_spell_02"	"Tear it down!"
"DCG_VO_ogre_bruiser_cast_spell_03"	"No you don't!"
"DCG_VO_ogre_bruiser_cast_spell_04"	"I see 'em!"
"DCG_VO_ogre_bruiser_cast_spell_05"	"They won't get past me."
"DCG_VO_ogre_bruiser_cast_spell_06"	"You think this will be easy?"
"DCG_VO_ogre_bruiser_cast_spell_07"	"I have lots of friends..."
"DCG_VO_ogre_bruiser_cast_spell_08"	"I hope this works..."
"DCG_VO_ogre_bruiser_cast_spell_09"	"This'll be interesting..."
"DCG_VO_ogre_bruiser_cast_spell_10"	"Well. Something's gonna happen."
"DCG_VO_ogre_bruiser_buff_ally_01"	"Let me show ya how to fight..."
