"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont e eu discordamos em muitas coisas, mas ele teve a sabedoria de reconhecer os perigos de enfurecer o Vazio Sem Rosto. O Tratado de Claszureme não me anima muito, a cronomancia era bem divertida. Mas sabe o que também é legal? Não destruírem a sua linha temporal."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont sempre me alertou sobre \"mexer com coisas que você não entende\". Geralmente, é só porque ele é um santo do pau oco... mas, infelizmente, às vezes ele está certo. Quer dizer, costuma estar — afinal, eu nunca morri permanentemente. Quer saber? Pensando melhor, ele é só um santo do pau oco mesmo."
"DCG_VO_vanessa_relentless_zombie"	"Os mortos estão se erguendo em Petalosa, Knogh... alguém fez o Juramento."
"DCG_VO_vanessa_howling_mind"	"Não acontece sempre, mas de vez em quando permitem que um feiticeiro saia da Mansão Tyler... embora quando saiam já não sejam mais os mesmos."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim é o maior feiticeiro de todos tempos. Não há dúvida. Não há discussão. Ninguém chega aos pés dele. Então, quando um dia ele desapareceu, ninguém quis saber \"como\", mas \"por quê\". Há quem diga que ele temeu pela própria vida e fugiu para se esconder, mas eu não acredito. Para mim, Aghanim está tramando alguma coisa. Uma coisa importante. Que vai mudar o mundo."
"DCG_VO_vanessa_arcane_assault"	"Rubick diz ser filho de Aghanim. Não acredito muito nisso, mas eu jamais diria na cara dele."
"DCG_VO_vanessa_glyph_of_confusion"	"O mundo lá fora é muito cruel, e quando um percentual significativo dele quer te ver morta você aprende a tomar certas precauções."
"DCG_VO_vanessa_the_tyler_estate"	"Grande parte do mundo mágico reconhece a autoridade do Conclave da Safira. Porém, na Rosa Lagrimosa somos regidos por nós mesmos e respondemos apenas ao Quórum, um senado de 31 feiticeiros poderosos. Embora não haja muitas regras na Rosa Lagrimosa, as poucas que existem são obedecidas sem questionamentos — pois descumpri-las significa ir para a Mansão Tyler."
"DCG_VO_ogre_bruiser_intro"	"Lutar é igual a esmagar o crânio de alguém com um tronco de árvore. Foi uma analogia!"
"DCG_VO_ogre_brusier_fighting_instinct"	"A vida é um monte de gente tentando matar você. Mate todo mundo primeiro."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Arma."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Melhor do que sair na mão."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"Não é pedra, mas serve."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"Vou usar como se fosse uma árvore."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>Risada baixa</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"Não acredito que coube..."
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Ninguém vai me matar."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Assim o sangue não sai."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"Eu não gosto de levar facada."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Eu vou viver mais."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Isso ajuda."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Valeu."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"Tô chique."
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Até brilha."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Tô bonito."
"DCG_VO_ogre_bruiser_kill_rival_01"	"Vou te esmagar!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Morra!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"Eu te quebro!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"Esmago!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Hahahahaha!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"Isso que é diversão!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Ops, quebrei."
"DCG_VO_ogre_bruiser_kill_rival_08"	"Você morreu tão cedo."
"DCG_VO_ogre_bruiser_kill_rival_09"	"Já morreu?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Aff!"
"DCG_VO_ogre_bruiser_use_include_01"	"Pronto para matar."
"DCG_VO_ogre_bruiser_use_include_02"	"Pronto para o que vier."
"DCG_VO_ogre_bruiser_use_include_03"	"Pronto para a luta."
"DCG_VO_ogre_bruiser_unique_01"	"Como eu arrumo outra cabeça?"
"DCG_VO_ogre_bruiser_unique_02"	"Vocês são muito sábios, Magi."
"DCG_VO_ogre_bruiser_unique_03"	"É uma honra quebrar crânios por vocês, Magi."
"DCG_VO_ogre_bruiser_unique_04"	"Como é fazer parte da Legião de Bronze?"
"DCG_VO_ogre_bruiser_unique_05"	"Gostei da sua tatuagem de metal."
"DCG_VO_ogre_bruiser_unique_06"	"Você devia devorar Tresdin e virar Comandante."
"DCG_VO_ogre_bruiser_unique_07"	"Você arremessa os corpos em uma trajetória bem bacana."
