"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"부울의 반란을 지지하는 자들이 있다는 건 안다... 릭스의 주장이 옳다고 믿는다는 사실도. 갈라니우스에게 세상은 그자의 것이 아님을 알려줘야 한다는 사실도. 당신들이 그런 식으로 느끼는 이유도 이해한다. 이제 그런 건 중요하지 않다. 릭스는 서약을 했다. 릭스가 자신의 영혼을 바치는 대가로 리스털의 궁정은 돌의 전당을 파괴할 수단을 주었다. 갈라니우스는 괴물일까? 어쩌면 그럴지도 모른다. 하지만 적어도 살아 있는 존재다. 악마들이 돌의 전당에 있는 남녀노소를 도륙하는 데 그냥 넋놓고 보고 있지는 않을 것이다. 우리는 진군할 것이다. 싸울 것이다. 그리고 당연히도, 많은 수가 죽을 것이다. 하지만 우리 목숨은 어리석어서가 아니라 필요해서 바치는 것이다... 우리가 죽은 존재와 저주받은 존재를 저지하지 않는다면... 과연 누가 하겠는가?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" 죽음은 자연스러운 것이다. 그것을 두려워하는 마음도 마찬가지다.  하지만 이제 내 말을 듣고 받아들여라. 죽음은 물리칠 수 있는 괴물이 아니다. 자신의 의지에 따라 움직이는 힘의 원천도 아니며, 명령에 따라 움직이는 노예도 아니다. 그러니 죽음이 찾아오면, 두려움으로 맞이하지 마라. 너희가 보일  두려움으로, 너희를 사랑하는 자들이 보여주는 슬픔에 죽음이 투영될 테니. 그러지 마라.  죽음은  따스하게 맞이하는 게 더 낫다... 침착하고 용감한 태도로. 친구들에게 모범을 보여라. 너희가 사라진 후 그들도 용감해질 수 있도록."
	"DCG_VO_lady_anshu_rumusque_scythe"	"죽은 자들이 강할 수도 있으나, 우리 믿음은 더 강하다."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"크렐라여, 우리를 굽어살피소서... 반드시 죽음을 맞이할 저희에게 힘을 주시고 당신의 어리석은 과오를 되풀이하지 않도록 지혜를 주소서."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"사악한 자들은 살육되리라."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"내가 정의를 실현하리라."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"반드시 산 자들을 보호하리라..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"무리는 보호받으리라."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"싸움은 두렵지 않다."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"치장을 갖추었도다..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"보호되는도다..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"죽음은 두렵지 않다."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"전투를 멈추지 않으리라."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"최후의 순간까지 이 안에 있으리라."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"완벽하도다."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"이게 필요하던 참이다."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"이거면 도움이 되겠다."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"이걸 써야겠다."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"좋다."
	"DCG_VO_lady_anshu_kill_rival_01"	"널 위해 기도하지."
	"DCG_VO_lady_anshu_kill_rival_02"	"다 끝났다."
	"DCG_VO_lady_anshu_kill_rival_03"	"넌 이미 틀렸다."
	"DCG_VO_lady_anshu_kill_rival_04"	"애초에 너에겐 가망이 없었다."
	"DCG_VO_lady_anshu_kill_rival_05"	"우리의 뜻은 옳다."
	"DCG_VO_lady_anshu_kill_rival_06"	"루무스크는 실패하지 않는다!"
	"DCG_VO_lady_anshu_kill_rival_07"	"넌 애초에 여기 오지 말았어야 했다."
	"DCG_VO_lady_anshu_kill_rival_08"	"여긴 네가 있을 곳이 아니다!"
	"DCG_VO_lady_anshu_kill_rival_09"	"양치기는 자기 양 떼를 지키는 법이지."
	"DCG_VO_lady_anshu_kill_rival_10"	"악은 결코 승리하지 못하리라."
	"DCG_VO_lady_anshu_use_include_01"	"두려워하지 마라."
	"DCG_VO_lady_anshu_use_include_02"	"네 가상한 용기는 기억해주마..."
	"DCG_VO_lady_anshu_use_include_03"	"이제 쉬어라."
	"DCG_VO_lady_anshu_unique_01"	"강령사제, 넌 이단이자 사기꾼이다."
	"DCG_VO_lady_anshu_unique_02"	"로툰드예르, 차라리 역병 와드 속에서 죽었으면 좋았겠다는 생각이 들 거다."
