"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Wiem, że niektórzy z was wspierali bunt vhuli... że wierzyliście, że sprawa Rixa była słuszna i że Galaniusz był tyranem, któremu trzeba było pokazać, że świat nie należy do niego. Rozumiem, dlatego tak czuliście. To nie ma już znaczenia. Rix złożył Przysięgę i w zamian za swoją duszę dwór ristulski dał mu środki do zniszczenia Kamieniogrodu. Czy Galaniusz jest potworem? Możliwe. Ale przynajmniej jest śmiertelnikiem. Nie będziemy trwać w bezczynności, gdy demony szlachtują mężczyzn, kobiety i dzieci Kamieniogrodu. Wymaszerujemy. I będziemy walczyć. I tak, wielu z nas umrze, ale nasze życia nie będą ofiarą z głupoty, lecz z konieczności... albowiem jeżeli nie zatrzymamy umarłych i potępionych, to któż to zrobi?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" Śmierć to naturalna kolej rzeczy, podobnie jak nasz strach przed nią. Ale wysłuchajcie mnie, a zrozumiecie: śmierć to nie potwór, którego można zgładzić. Nie jest źródłem mocy, które można wykorzystać na własną korzyść. Więc kiedy śmierć przyjdzie po was, nie witajcie jej strachem – albowiem wasz strach zostanie odzwierciedlony w smutku tych, którzy was kochają. Nie. Lepiej powitać śmierć ciepło... z pewnością siebie i odwagą, by być wzorem dla swoich przyjaciół, by oni również byli odważni podczas waszej nieobecności."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Może i umarli są silni, ale nasza wiara jest silniejsza."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Strzeż nas, Crello... Daj nam siłę w obliczu nieuchronnej śmierci oraz mądrość, by nie powtórzyć twego szaleństwa."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Niegodziwcy zostaną zgładzeni."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Wymierzę sprawiedliwość."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Będę chronić śmiertelników..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"Owieczki będą strzeżone."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Nie boję się walki."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Przyodziano mnie..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Zapewniono mi ochronę..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Nie lękam się śmierci."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Nie przestanę walczyć."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Zajmę się tym do samego końca."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Idealnie."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"Potrzebowałam tego."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"To się sprawdzi."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Wykorzystam to."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Dobrze."
	"DCG_VO_lady_anshu_kill_rival_01"	"Będę się modlić za ciebie."
	"DCG_VO_lady_anshu_kill_rival_02"	"To koniec."
	"DCG_VO_lady_anshu_kill_rival_03"	"Za późno dla ciebie."
	"DCG_VO_lady_anshu_kill_rival_04"	"Twoje szanse były zerowe."
	"DCG_VO_lady_anshu_kill_rival_05"	"Nasza sprawa jest słuszna."
	"DCG_VO_lady_anshu_kill_rival_06"	"Rumusque nie zawiedzie!"
	"DCG_VO_lady_anshu_kill_rival_07"	"Nigdy nie powinno cię tu być."
	"DCG_VO_lady_anshu_kill_rival_08"	"Tu nie twoje miejsce!"
	"DCG_VO_lady_anshu_kill_rival_09"	"Pasterz chroni swą owczarnię."
	"DCG_VO_lady_anshu_kill_rival_10"	"Zło nigdy nie zwycięży."
	"DCG_VO_lady_anshu_use_include_01"	"Nie lękaj się."
	"DCG_VO_lady_anshu_use_include_02"	"Będziemy pamiętać cię za twą odwagę..."
	"DCG_VO_lady_anshu_use_include_03"	"Spoczywaj."
	"DCG_VO_lady_anshu_unique_01"	"Jesteś heretykiem i szarlatanem, Nekrofosie."
	"DCG_VO_lady_anshu_unique_02"	"Będziesz żałował tego, że nie umarłeś w lazarecie, Rotund'jere."
	"DCG_VO_lady_anshu_unique_03"	"Zwrócę ziemi twoje gnijące truchło."
	"DCG_VO_lady_anshu_unique_04"	"Walka po słusznej stronie w jednej bitwie nie odkupi twych grzechów, Nekrofosie."
	"DCG_VO_lady_anshu_unique_05"	"Brzydzę się walką z tobą po tej samej stronie."
	"DCG_VO_lady_anshu_unique_06"	"Rotund'jere, twoja droga do odkupienia będzie zaiste długa."
	"DCG_VO_lady_anshu_unique_07"	"Podążajcie za mną, a nie zawiedziemy."
	"DCG_VO_lady_anshu_unique_08"	"To dopiero początek naszej krucjaty..."
	"DCG_VO_lady_anshu_unique_09"	"Mamy wiele do zrobienia..."
	"DCG_VO_lady_anshu_unique_10"	"Zgładzić nieczystych!"
	"DCG_VO_lady_anshu_unique_11"	"Ten świat jest dla żywych!"
	"DCG_VO_lady_anshu_unique_12"	"Rumusque zawsze będzie stawiać opór potępionym!"
	"DCG_VO_lady_anshu_unique_13"	"Tutaj kończą się twoje poszukiwania potęgi, nekromanto..."
	"DCG_VO_lady_anshu_unique_14"	"Martwi winni pozostawać pogrzebani..."
	"DCG_VO_lady_anshu_unique_15"	"To zaszczyt walczyć u twego boku, Crello."
	"DCG_VO_lady_anshu_unique_16"	"Crello, przybyłaś nas wybawić!"
	"DCG_VO_lady_anshu_unique_17"	"Crello, usłyszałaś nasze modlitwy..."
	"DCG_VO_lady_anshu_unique_18"	"Odwagi, moje dziecko."
	"DCG_VO_lady_anshu_unique_19"	"Być może śmierć przyniesie ci odkupienie..."
	"DCG_VO_lady_anshu_unique_20"	"Zaprawdę jesteś wzorem dla nas wszystkich, Crello..."
	"DCG_VO_lady_anshu_healed_01"	"Aaach."
	"DCG_VO_lady_anshu_healed_02"	"Moje podziękowania."
	"DCG_VO_lady_anshu_healed_03"	"Bardzo to doceniam..."
	"DCG_VO_lady_anshu_healed_04"	"Czuję się lepiej..."
	"DCG_VO_lady_anshu_healed_05"	"Dziękuję."
	"DCG_VO_lady_anshu_taunt_generic_01"	"Nie możemy przegrać!"
	"DCG_VO_lady_anshu_taunt_generic_02"	"Nie przestaniemy walczyć!"
	"DCG_VO_lady_anshu_taunt_generic_03"	"To jest nasz czas!"
	"DCG_VO_lady_anshu_taunt_generic_04"	"Zwycięstwo jest pewne!"
	"DCG_VO_lady_anshu_taunt_generic_05"	"Teraz czas uderzać!"
	"DCG_VO_lady_anshu_taunt_generic_06"	"Wygnać nieczystych!"
	"DCG_VO_lady_anshu_taunt_generic_07"	"Wykończyć ich!"
	"DCG_VO_lady_anshu_taunt_generic_08"	"Zniszczyć Starożytnego!"
	"DCG_VO_lady_anshu_taunt_generic_09"	"Zająć wieżę!"
	"DCG_VO_lady_anshu_taunt_generic_10"	"Święta Crello, prowadź nas ku zwycięstwu!"
	"DCG_VO_lady_anshu_potential_kill_01"	"Żałuj za grzechy."
	"DCG_VO_lady_anshu_potential_kill_02"	"To koniec."
	"DCG_VO_lady_anshu_potential_kill_03"	"Położę kres twym niegodziwościom."
	"DCG_VO_lady_anshu_potential_kill_04"	"Nie przeżyjesz."
	"DCG_VO_lady_anshu_potential_kill_05"	"Poddaj się lub giń."
	"DCG_VO_lady_anshu_potential_save_01"	"Nie dzisiaj."
	"DCG_VO_lady_anshu_potential_save_02"	"Święta mnie strzeże."
	"DCG_VO_lady_anshu_potential_save_03"	"Jeszcze mi nie czas umierać."
	"DCG_VO_lady_anshu_potential_save_04"	"Nie przestraszysz mnie."
	"DCG_VO_lady_anshu_potential_save_05"	"Nigdy nie ugnę się przed złem."
	"DCG_VO_lady_anshu_permanent_armor_01"	"Pancerz wiary."
	"DCG_VO_lady_anshu_permanent_armor_02"	"Święci nade mną czuwają."
	"DCG_VO_lady_anshu_permanent_armor_03"	"Tylko spróbuj mnie skrzywdzić..."
	"DCG_VO_lady_anshu_permanent_armor_04"	"Podczas bitwy niczego się nie lękam."
	"DCG_VO_lady_anshu_permanent_armor_05"	"Zwrócę ku wam wasze miecze i strzały..."
	"DCG_VO_lady_anshu_permanent_attack_01"	"Święci kierują mą ręką."
	"DCG_VO_lady_anshu_permanent_attack_02"	"Teraz jestem silniejsza."
	"DCG_VO_lady_anshu_permanent_attack_03"	"Rozgromię naszych wrogów..."
	"DCG_VO_lady_anshu_permanent_attack_04"	"Moja ręka zarówno niszczy, jak i chroni..."
