"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"Entrée en matière..."
"DCG_NPE_Starter1"				"Deck rouge-vert : combat"
"DCG_NPE_Starter2"				"Deck bleu-noir : contrôle"
"DCG_NPE_Training_Complete"		"Entrainement terminé"
"DCG_NPE_First_Match"			"Partie 1/2"
"DCG_NPE_Begin_Training"		"Commencer l'entrainement"
"DCG_NPE_First_Deck_Desc"		"Ce deck est un mélange de héros et héroïnes robustes et de sorts redoutables qui vous permettra de réduire en poussière la tour adverse."
"DCG_NPE_First_Match_Desc"		"Faites une partie complète contre l'IA en format libre pour apprendre les règles de base."
"DCG_NPE_Second_Match"			"Partie 2/2"
"DCG_NPE_Continue_Training"		"Continuer l'entrainement"
"DCG_NPE_Second_Deck_Desc"		"À première vue, vos héroïnes et vos héros peuvent sembler vulnérables... En réalité, avec un peu de ruse et de préparation, ils peuvent accomplir des prouesses."
"DCG_NPE_Second_Match_Desc"		"Faites une autre partie complète en format libre contre l'IA pour apprendre d'autres règles importantes."
"DCG_NPE_ClaimDecksAndPacks"	"Récupérer les decks et les boosters"
"DCG_NPE_Training_Complete_Desc"	"Votre entrainement est terminé, mais votre aventure ne fait que commencer. Plus vous jouerez, plus vous trouverez de profondeur au jeu."
"DCG_NPE_ThatsAll"				"Et maintenant, à vous de vous approprier Artifact ! Que ce soit entre ami(e)s, pour la compétition ou juste pour vous détendre, choisissez le mode de jeu qui vous plait !"
"DCG_NPE_BotPractice"			"Affrontez l'IA"
"DCG_NPE_BuildDecks"			"Personnalisez vos decks"
"DCG_NPE_Challenge"				"Défiez vos ami(e)s"
"DCG_NPE_Unmute"				"Vous pouvez réactiver les messages des joueurs et joueuses depuis le menu."
"DCG_NPE_Chatwheel"				"(Maintenez le clic gauche appuyé sur votre tour ou une unité pour la faire parler.)"

"DCG_NPE_Skip"					"Voulez-vous passer l'entrainement ? (DÉCONSEILLÉ)"
"DCG_NPE_Skip_Description"		"L'entrainement permet d'apprendre les mécaniques de base d'Artifact. Vous jouerez deux parties complètes contre l'IA avec vos decks de départ. Si vous décidez de passer l'entrainement, vous obtiendrez quand même vos boosters et vos decks de départ. Voulez-vous continuer ?"
"DCG_NPE_Skipped"				"Si vous voulez refaire l'entrainement, il est accessible depuis le menu Options."

"DCG_NPE_Continue"				"Continuer"

"DCG_NPE_Intro01"				"Voici votre premier deck ! Les héroïnes et héros rouges sont de puissantes unités guerrières, et les verts des âmes dévotes tenaces."
"DCG_NPE_Intro02"				"Cette fois, vous allez jouer avec le deck adverse. Les unités héroïques noires et bleues sont de frêles roublard(e)s et des personnages ensorceleurs aux puissantes capacités."

"DCG_NPE_TowersEachLane"		"Votre adversaire et vous avez des tours dans chacune des 3 zones..."
"DCG_NPE_YourTowers"			"Votre tour"
"DCG_NPE_TheirTowers"			"Tour adverse"
