"dcg_lore_set_00"
{
//Set 0 Flavor Text

//Items

"CardLore_3000"		"화려한 물건은 아니지만, 여기저기 다니는 일이 훨씬 더 즐거워지지. — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3001"		"세상에서 제일 잘빠진 무기냐고? 그럴 리가. 네 허리춤에 찬 칼보다 나은 무기냐고? 물론이지. — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3002"		"영웅이라고 다 검을 쓰지야 않지... 물론 대부분이 쓴다는 게 사실이지만. — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3003"		"상처의 극심한 통증을 줄여주는 연고지. — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3004"		"고대의 축복을 받아 어떤 상처도 치유할 수 있는 물이지. — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3005"		"어설픈 지식은 없느니만 못하다지만... 그나마 있는 게 약이 될 수도 있지... — <i>욜릭시아, 카드 목양신</i>"
"CardLore_3006"		"전투에서 물러날 때를 아는 자는 겁쟁이가 아니라 현명한 자야. — <i>욜릭시아, 카드 목양신</i>"

//Heroes and includes
"CardLore_4003"		"싸움은 누군가의 머리통을 통나무로 박살내는 거다. 진짜 그런다는 게 아니라, 말이 그렇다는 거다! — <i>키프 트리킬러, 오거 난폭자</i>"
"CardLore_4004"		"인생은 끊임없이 누군가가 나를 죽이려 드는 것이란다. 그러니 네가 먼저 죽이렴. — <i>4살 난 딸에게 삶의 지혜를 일러주는 키프</i>"
"CardLore_4000"		"마그누스가 그 아이를 데려와 보호해달라고 했지. 이유는 말해주진 않았지만, 그럴 필요도 없었어. 난 그 아이가 누구인지, 커서 무엇이 될지 알았으니까. — <i>파르반, 배회자 주술사</i>"
"CardLore_4002"		"이 아이가 왜 중요한진 모른다... 내가 아는 건 우리가 그 아이를 보호해야 하는 책임을 부여받았고, 주술사를 실망시켜선 안된다는 사실이다. — <i>일렉사를 받아준 배회자 선봉대</i>"
"CardLore_4005"		"코볼트는 태어날 때 이름이 없어. 우리는 처음 죽인 사람에게서 이름을 따오지. 돌이켜 생각해보면 그 제빵사를 오븐에 처박아버리기 전에 그 생각을 해야 했는데. 어떻게 보면, 난 데비와 좀 닮기도 했지. — <i>데비, 코볼트 공작원</i>"
"CardLore_4007"		"벽옥회에 대해 들은 후부터 계속 거기에 들어가고 싶었지만, 그런 조직은... 내가 들어가고 싶다고 해서 들어갈 수 있는 게 아니야. 그쪽에서 먼저 접촉을 해와야 하거든... 즉, 일단 명성을 쌓아야 한다는 거지. 그래서 선브리즈를 미행하며 6달을 보냈어. 그 멍청한 요정 녀석이 멍청한 요정 상인 짓거리를 하는 걸 6달이나 지켜봤다고. 그리곤 마침내 계획을 세웠는데, 장막의 자매단이 쿼디아스를 암살하는 바람에 모든 게 틀어져 버렸지. 물론 그냥 선브리즈를 죽여버릴 수도 있었지만, 그러면 사람들이 자매단이 그런 줄로 알 거 같더라고. 그래서 욕 몇 마디하고 그냥 다 접었어. — <i>데비, 좌절한 암살자</i>"
"CardLore_4008"		"우리 부족은 수가 적긴 해도 그 잠재력만큼은 엄청나다... 절대 타들어 가는 숲에서 학살당하게 놔두지 않겠다. 이제 우리는 선조 때부터 살던 고향을 떠나야 한다. 난 우리 부족을 이끌고 위핑 로즈로 갈 것이다... 우리의 마법이 두려움이 아니라 축하의 대상인 바로 그곳으로. — <i>탈출하는 부족을 이끄는 어둠트롤 족장</i>"
"CardLore_4010"		"때론 가장 간단한 마법이 가장 효과적이기 마련이다. — <i>제이무이, 어둠트롤 족장</i>"

}
