"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont ile birçok konuda farklı fikirlere sahibiz, ama o öfkelenen Faceless Void'in tehlikelerinin farkına varmakla akıllılık etti. Claszureme Antlaşması'na bayılıyor değilim ama zaman büyücülüğü çok eğlenceliydi. Başka eğlenceli olan ne var biliyor musun? Zaman çizginin imha edilmemesi."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont beni hep \"anlamadığın şeylerle uğraşmak\" konusunda uyarır. Çoğu zaman kibirli bir piç gibi davranıyor ama maalesef bazen haklı. Yani, çoğunlukla haklı. Sonuçta hiç kalıcı olarak ölmedim ben. Bilirsin işte, şimdi düşünüyorum da, aslında hep kibirli bir piç gibi davranıyor."
"DCG_VO_vanessa_relentless_zombie"	"Gül Yaprak'ta ölüler diriliyor Knogh... Birisi Yemin'i etmiş."
"DCG_VO_vanessa_howling_mind"	"Çok olmuyor ama ara sıra bir büyücünün Tyler Malikânesi'nden ayrılmasına izin verilir. Ama bunu yaptıklarında da geri dönüşü olmayacak bir şekilde değişmiş olurlar."
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim tüm zamanların en büyük büyücüsü. Hiç şüphe yok. Tartışması bile yapılamaz. Hiç kimse ona denk değil. Bu nedenle bir gün ortadan kaybolduğunda \"nasıl\" olduğunu hiç merak etmedik; merak ettiğimiz \"neden\" olduğuydu. Bazıları canından endişe ettiği için saklandığını söylüyor ama ben buna inanmıyorum. Bana sorarsanız Aghanim bir şey üzerinde çalışıyor. Önemli bir şey üzerinde... Dünyayı değiştirecek bir şey üzerinde..."
"DCG_VO_vanessa_arcane_assault"	"Rubick, Aghanim'in oğlu olduğunu iddia ediyor. Pek inandığımı söyleyemem, ama bunu Rubick'in suratına da söylemem."
"DCG_VO_vanessa_glyph_of_confusion"	"Dünya çirkin bir yer ve içinde yaşayanların çoğu seni öldürmek istediğinde bazı önlemler almayı öğreniyorsun."
"DCG_VO_vanessa_the_tyler_estate"	"Büyü dünyasının büyük bir kısmı Safir Meclisi'nin otoritesini kabul ediyor. Ama Ağlayan Gül'de kendi kendimizi yönetiyor, sadece 31 güçlü büyücüden oluşan Quorum'a hesap veriyoruz. Ağlayan Gül'de çok fazla kural olmasa da, sahip olduğumuz birkaç kurala tereddütsüz uyarız. Çünkü bu kurallara uymayanlar Tyler Malikânesi'ne gönderilir."
"DCG_VO_ogre_bruiser_intro"	"Dövüşmek, ağaç gövdesi ile birinin kafatasını ezmek gibidir. Benzetme yapıyorum!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Hayat, seni öldürmek isteyen insanlardan ibarettir. Önce sen onları öldür."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Silah."
