"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"好戲才正要開始……"
"DCG_NPE_Starter1"				"紅綠肉搏牌組"
"DCG_NPE_Starter2"				"藍黑統御牌組"
"DCG_NPE_Training_Complete"		"訓練完成"
"DCG_NPE_First_Match"			"第一場比賽（1/2）"
"DCG_NPE_Begin_Training"		"開始訓練"
"DCG_NPE_First_Deck_Desc"		"其特色是英雄持久耐戰，加成威力強大；你能憑藉壓倒性的力量讓敵方塔灰飛煙滅。"
"DCG_NPE_First_Match_Desc"		"使用此牌組與電腦進行一場形式完全自由的比賽，同時學習遊戲的核心規則。"
"DCG_NPE_Second_Match"			"第二場比賽（2/2）"
"DCG_NPE_Continue_Training"		"繼續訓練"
"DCG_NPE_Second_Deck_Desc"		"你的英雄乍看之下很脆弱，但只要稍微用點頭腦、耍點詭計，就能創下傲人戰績。"
"DCG_NPE_Second_Match_Desc"		"再與電腦玩家進行一場形式完全自由的比賽，並學習更多重要規則。"
"DCG_NPE_ClaimDecksAndPacks"	"領取牌組+卡牌包"
"DCG_NPE_Training_Complete_Desc"	"你已完成訓練，但這只是偉大冒險的開端。隨著經驗的累積，你會發現更豐富的戰略玩法。"
"DCG_NPE_ThatsAll"				"從現在開始，你能隨心所欲地玩Artifact了。無論你是想交朋友、與他人競賽、或只是想輕鬆地玩遊戲，一切都由你決定！"
"DCG_NPE_BotPractice"			"與電腦玩家練習對戰"
"DCG_NPE_BuildDecks"			"自訂牌組"
"DCG_NPE_Challenge"				"挑戰好友"
"DCG_NPE_Unmute"				"你可以在選單中解除玩家靜音。"
"DCG_NPE_Chatwheel"				"（對你的塔或單位長按滑鼠鍵可聊天）"

"DCG_NPE_Skip"					"確定要跳過訓練嗎？（不建議）"
"DCG_NPE_Skip_Description"		"在訓練過程中，你將使用新手牌組和電腦玩家進行兩場無指定形式的比賽，藉此了解Artifact的核心機制。如果你選擇跳過訓練，照樣可以領取新手牌組與卡牌包。確定要跳過訓練嗎？"
"DCG_NPE_Skipped"				"若你想重複訓練，可在選單內找到選項。"

"DCG_NPE_Continue"				"繼續"

"DCG_NPE_Intro01"				"來用你的第一個牌組玩遊戲吧！ 紅色英雄和綠色英雄是強悍的戰士與神職人員。"
"DCG_NPE_Intro02"				"這次你要改用顏色相反的牌組進行遊戲。藍色英雄和黑色英雄是體力單薄的遊俠和具有強大技能的巫師。"

"DCG_NPE_TowersEachLane"		"你和對手在三條兵線上各有一座塔……"
"DCG_NPE_YourTowers"			"你的塔"
"DCG_NPE_TheirTowers"			"對手的塔"
"DCG_NPE_TowerHealth"			"每座塔一開始各有30生命。"
"DCG_NPE_DestroyAny2"			"摧毀對手的三座塔中任意兩座塔即可獲勝！"
