"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont y yo no estamos de acuerdo en muchas cosas, pero él fue sabio al reconocer lo peligroso que es hacer enfadar al Semblante del Vacío. No me emociona el Tratado de Claszureme, la verdad. La cronomancia era increíble. Pero, ¿sabes qué otra cosa es increíble? Que no te borren de la línea del tiempo."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont siempre me advierte «no te metas en cosas que no entiendes». La mayoría de las veces es de lo más arrogante, pero a veces tiene razón. Bueno, la tiene a medias, al fin y al cabo, no me he muerto del todo. Vamos, que en realidad es de lo más arrogante siempre."
"DCG_VO_vanessa_relentless_zombie"	"Los muertos se están levantando en Rosoideo, Knogh. Alguien ha hecho el juramento."
"DCG_VO_vanessa_howling_mind"	"Pasa pocas veces, pero de vez en cuando se permite que un hechicero salga de la finca Tyler, aunque cuando lo hace cambia para siempre."
"DCG_VO_vanessa_aghanims_sanctum"	"Sin duda, Aghanim es el mejor mago de todos los tiempos. Es incuestionable. Nadie ha estado jamás a su nivel. Por eso, cuando un día desapareció, no nos preguntamos «cómo», sino «por qué». Hay quien dice que se ocultó porque temía por su vida, pero no me lo trago. Yo creo que Aghanim está tramando algo importante, algo que cambiará el mundo."
"DCG_VO_vanessa_arcane_assault"	"Rubick asegura ser hijo de Aghanim. No sé si creérmelo, pero jamás le diría esto a Rubick."
"DCG_VO_vanessa_glyph_of_confusion"	"Es un mundo peligroso. Y cuando un buen porcentaje de las personas que conoces te quieren ver muerta, aprendes a tomar ciertas precauciones."
"DCG_VO_vanessa_the_tyler_estate"	"La mayoría del mundo mágico reconoce la autoridad del Cónclave de Zafiro. Pero, en Rosa Llorona, nos gobernamos a nosotros mismos y solo respondemos ante el Cuórum, un senado compuesto por 31 poderosos magos. Aunque en Rosa Llorona no hay muchas reglas, las pocas que existen se cumplen a rajatabla, porque, si no, te envían a la finca Tyler."
"DCG_VO_ogre_bruiser_intro"	"Combatir es como aplastar el cráneo de alguien con el tronco de un árbol. ¡Menuda metáfora!"
"DCG_VO_ogre_brusier_fighting_instinct"	"La vida es una serie de personas que quieren matarte. ¡Mátalas tú primero!"
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Un arma."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Mejor que un puño."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"No es una roca, pero servirá."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"La manejo como si hubiera nacido con ella en la mano."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>risitas</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"No creo que esto me vaya bien."
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Nadie me está matando."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Con esto no perderé sangre."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"No me gusta que me apuñalen."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Viviré más."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Esto viene bien."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"¡Gracias!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"¡Derrocho elegancia!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"¡Cómo brilla!"
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"¡Qué bonito!"
"DCG_VO_ogre_bruiser_kill_rival_01"	"¡Te voy a aplastar!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"¡Muere!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"¡Te vas a enterar!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"¡Toma!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"¡Ja, ja, ja, ja, ja!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"¡Qué divertido!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"¡Vaya, se ha roto!"
"DCG_VO_ogre_bruiser_kill_rival_08"	"¡Qué pronto has muerto!"
