"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"Это только начало..."
"DCG_NPE_Starter1"				"Колода «Красный/зелёный бой»"
"DCG_NPE_Starter2"				"Колода «Синий/чёрный контроль»"
"DCG_NPE_Training_Complete"		"Обучение завершено"
"DCG_NPE_First_Match"			"Игра 1 из 2"
"DCG_NPE_Begin_Training"		"Начать обучение"
"DCG_NPE_First_Deck_Desc"		"Сочетая стойких героев и мощные улучшения, полагайтесь на грубую силу и оставьте от башен врага одни руины."
"DCG_NPE_First_Match_Desc"		"В свободной игре против бота вы изучите основные принципы игры."
"DCG_NPE_Second_Match"			"Игра 2 из 2"
"DCG_NPE_Continue_Training"		"Продолжить обучение"
"DCG_NPE_Second_Deck_Desc"		"Пусть ваши герои и кажутся хлипкими, добротная стратегия и пара хитростей помогут им совершить невероятное."
"DCG_NPE_Second_Match_Desc"		"Эта свободная игра против бота покажет вам ещё несколько важных принципов."
"DCG_NPE_ClaimDecksAndPacks"	"Получить колоды и комплекты"
"DCG_NPE_Training_Complete_Desc"	"Тем не менее, приключение только начинается! Чем больше вы играете, тем больше игра раскроется перед вами."
"DCG_NPE_ThatsAll"				"Теперь вы можете играть в Artifact,<br>как захотите!<br>Бросьте вызов друзьям, попробуйте соревновательный режим или просто отдыхайте за игрой — выбор за вами!"
"DCG_NPE_BotPractice"			"Тренировка с ботом"
"DCG_NPE_BuildDecks"			"Собрать свои колоды"
"DCG_NPE_Challenge"				"Бросить вызов друзьям"
"DCG_NPE_Unmute"				"Сообщения от противника можно включить в меню."
"DCG_NPE_Chatwheel"				"(зажмите кнопку мыши на башне или существе, чтобы отправить сообщение)"

"DCG_NPE_Skip"					"Пропустить обучение?"
"DCG_NPE_Skip_Description"		"Не рекомендуем пропускать обучение. Оно научит вас основам в двух свободных играх со стартовыми колодами против бота. Пропустив тренировку, вы всё равно получите стартовые колоды и комплекты карт. Вы уверены?"
"DCG_NPE_Skipped"				"Если вы захотите повторить обучение, его можно найти<br>в меню настроек."

"DCG_NPE_Continue"				"Продолжить"

"DCG_NPE_Intro01"				"Давайте сыграем вашей первой колодой! Красные и зелёные герои — стойкие воины и клирики."
"DCG_NPE_Intro02"				"На этот раз вы будете играть колодой противника. Чёрные и синие герои — уязвимые плуты и колдуны с мощными способностями."

"DCG_NPE_TowersEachLane"		"У вас и у противника есть по башне<br>на каждой линии..."
"DCG_NPE_YourTowers"			"Ваша башня"
"DCG_NPE_TheirTowers"			"Башня врага"
"DCG_NPE_TowerHealth"			"Изначально у каждой башни по 30 здоровья."
"DCG_NPE_DestroyAny2"			"Уничтожьте две башни врага из трёх, чтобы победить!"
"DCG_NPE_HeroColor"				"На этой линии у вас красный герой..."
"DCG_NPE_CardColor"				"...поэтому на ней вы можете разыгрывать только красные карты." //CHANGED
"DCG_NPE_PlayACreep"			"Разыграйте карту крипа (&#9640;) на любую позицию."
"DCG_NPE_CreepHittingTower"		"Это существо<br>не заблокировано,<br>то есть в сражении оно нанесёт урон башне."
"DCG_NPE_Combat"				"Стрелка указывает, что этот крип нанесёт урон крипу напротив."
"DCG_NPE_LastAction"			"Вражеская карта заклинания (&#9642;) нанесла вашей башне 4 урона."
"DCG_NPE_LastAction2"			"Нажмите сюда дважды, чтобы увидеть последнюю карту, разыгранную противником."
"DCG_NPE_Pass"					"Все существа автоматически атакуют после того, как оба игрока спасуют."
"DCG_NPE_DamagePreview"			"Итог сражения показывает, сколько урона существо получит в сражении."
"DCG_NPE_DeathPreview"			"Итог сражения показывает,<br>что это существо погибнет в сражении."
"DCG_NPE_GlowingBorder"			"Все карты, которые можно разыграть, подсвечиваются синим цветом."
"DCG_NPE_GlowingBorder2"		"Разыграйте ещё одну карту крипа (&#9640;), чтобы он атаковал башню."
"DCG_NPE_HeroColor2"			"На этой линии у вас зелёный герой, поэтому вы можете разыгрывать зелёные карты..."
"DCG_NPE_CardCost"				"...но ваши карты требуют больше,<br>чем 3 маны."
"DCG_NPE_CurrentMana"			"Изначально у каждой башни 3 маны.<br>Мана автоматически восполняется каждый раунд."
"DCG_NPE_NoActions"				"Иногда у вас не будет доступных действий, и тогда вам придётся спасовать."
"DCG_NPE_YourGold"				"Вы получаете<br>1 золота за каждого убитого крипа<br>и 5 золота за каждого убитого героя."
"DCG_NPE_Inspection"			"Дважды нажмите<br>на любую карту,<br>чтобы узнать,<br>что означают подчёркнутые ключевые слова."
"DCG_NPE_DeployHero"			"Разместите героя на любой линии."
"DCG_NPE_RememberColors"		"Если на линии находятся и зелёный, и красный герои,<br>там можно разыграть карты обоих цветов."
"DCG_NPE_MaxMana"				"Каждый раунд максимальный запас маны ваших башен увеличивается на 1."
"DCG_NPE_CreepIcon"				"Крип"
"DCG_NPE_SpellIcon"				"Заклинание"
"DCG_NPE_TypeIcons"				"Заклинания (&#9642;)<br>и крипы (&#9640;) имеют разные символы."
"DCG_NPE_Ancient"				"Вы уничтожили башню и теперь можете атаковать древнюю башню."
"DCG_NPE_Ancient2"				"Чтобы победить, уничтожьте либо эту древнюю башню, либо башню<br>на другой линии."
"DCG_NPE_RememberThisStuff"		"Не забывайте:<BR>1) Чтобы победить, нужно разрушить<br>две любые башни."
"DCG_NPE_RememberThisStuff2"	"2) Если разрушить башню, на её место встанет древняя башня, уничтожение которой тоже приносит победу."
"DCG_NPE_RememberThisStuff3"	"3) Дважды нажмите на ЛЮБУЮ карту, чтобы увидеть определения терминов на ней (рассечение, осада, устранение...)"
"DCG_NPE_ActiveAbility"			"Активная способность перезарядилась. Прочтите описание<br>и примените её, когда захотите."
"DCG_NPE_ActiveAbilityReady"	"Активная способность готова"
"DCG_NPE_HandScrolling"			"Число карт в вашей руке не ограничено. Чтобы прокрутить карты в руке, перетащите их вбок."
"DCG_NPE_Fountain"				"Ваш герой погиб<br>и восстанавливает здоровье у фонтана. Но не переживайте..."
"DCG_NPE_Fountain2"				"После одного полного раунда герой вернётся в фазу размещения."
"DCG_NPE_ImprovementPlayed"		"Улучшение (&#9641;) действует на этой линии."
"DCG_NPE_ImprovementPlayed2"	"Улучшения (&#9641;) действуют до конца игры. Чтобы открыть описание улучшения, нажмите на него дважды."
"DCG_NPE_EquipmentPermanent"	"Предметы можно дать любому герою,<br>и они действуют постоянно."
