"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"To dopiero początek..."
"DCG_NPE_Starter1"				"Czerwono-zielona talia awanturników"
"DCG_NPE_Starter2"				"Niebiesko-czarna talia kontrolujących"
"DCG_NPE_Training_Complete"		"Trening zakończony"
"DCG_NPE_First_Match"			"Mecz 1 z 2"
"DCG_NPE_Begin_Training"		"Rozpocznij trening"
"DCG_NPE_First_Deck_Desc"		"Łączy wytrzymałych bohaterów i potężne wzmocnienia. Aby rozbić w proch wieże wroga, musisz polegać na brutalnej sile."
"DCG_NPE_First_Match_Desc"		"Rozegraj towarzyski mecz z botem, aby poznać podstawowe zasady."
"DCG_NPE_Second_Match"			"Mecz 2 z 2"
"DCG_NPE_Continue_Training"		"Kontynuuj trening"
"DCG_NPE_Second_Deck_Desc"		"Twoi bohaterowie mogą się wydawać nieco wątli, ale dzięki odrobinie sprytu i planowania są w stanie dokonać nieprawdopodobnych czynów."
"DCG_NPE_Second_Match_Desc"		"Rozegraj kolejny towarzyski mecz z botem, aby poznać jeszcze kilka ważnych zasad."
"DCG_NPE_ClaimDecksAndPacks"	"Odbierz talie i pakiety"
"DCG_NPE_Training_Complete_Desc"	"Pamiętaj jednak, że to dopiero sam początek twojej przygody. Im dłużej będziesz grać, tym głębsze poziomy złożoności rozgrywki zaczniesz odkrywać."
"DCG_NPE_ThatsAll"				"Od teraz możesz grać w Artifact, tak jak lubisz. Możesz grać dla rozrywki ze znajomymi, brać udział w turniejach lub po prostu się zrelaksować – wybór należy do ciebie!"
"DCG_NPE_BotPractice"			"Ćwicz grę z botem"
"DCG_NPE_BuildDecks"			"Modyfikuj swoje talie"
"DCG_NPE_Challenge"				"Rzuć wyzwanie znajomym"
"DCG_NPE_Unmute"				"Możesz wyłączyć wyciszenie wiadomości gracza w menu."
"DCG_NPE_Chatwheel"				"(kliknij i przytrzymaj wieżę lub jednostkę, aby czatować)"

"DCG_NPE_Skip"					"Pominąć trening? (NIEZALECANE)"
"DCG_NPE_Skip_Description"		"Podczas treningu poznasz podstawowe mechanizmy działania gry Artifact, używając talii startowych w dwóch towarzyskich meczach z botem. Nawet jeśli pominiesz trening, to wciąż odbierzesz talie startowe i pakiety kart. Kontynuować?"
"DCG_NPE_Skipped"				"Jeśli chcesz powtórzyć trening, znajdziesz go w menu opcji."

"DCG_NPE_Continue"				"Kontynuuj"

"DCG_NPE_Intro01"				"Czas zagrać pierwszą talią! Czerwoni i zieloni bohaterowie to nieustępliwi wojownicy i klerycy."
"DCG_NPE_Intro02"				"Tym razem zagrasz zupełnie inną talią. Czarni i niebiescy bohaterowie to łotrzyki oraz czarodzieje o potężnych umiejętnościach, choć są podatni na zranienia."

"DCG_NPE_TowersEachLane"		"Na każdej z trzech ścieżek ty i twój przeciwnik macie swoje wieże..."
"DCG_NPE_YourTowers"			"Twoja wieża"
"DCG_NPE_TheirTowers"			"Wieża przeciwnika"
"DCG_NPE_TowerHealth"			"Każda wieża ma na początku 30 pkt. zdrowia."
"DCG_NPE_DestroyAny2"			"Aby wygrać, musisz zniszczyć dowolne dwie z trzech wież przeciwnika!"
"DCG_NPE_HeroColor"				"Na tej ścieżce masz czerwonego bohatera..."
"DCG_NPE_CardColor"				"...więc możesz zagrywać na niej tylko czerwone karty." //CHANGED
"DCG_NPE_PlayACreep"			"Zagraj kartę stwora (&#9640;), aby ustawić go na pozycji bitewnej."
"DCG_NPE_CreepHittingTower"		"Ta niezablokowana jednostka podczas bitwy będzie niszczyć wieżę."
"DCG_NPE_Combat"				"Strzałka celowania wskazuje, że obrażenia zadawane przez tego stwora będą kierowane w stwora na wprost."
"DCG_NPE_LastAction"			"Twój przeciwnik zagrał kartę czaru (&#9642;), zadając 4 pkt. obrażeń twojej wieży."
"DCG_NPE_LastAction2"			"Kliknij dwukrotnie, aby zobaczyć ostatnio zagraną przez przeciwnika kartę."
"DCG_NPE_Pass"					"Gdy obaj gracze spasują, wszystkie jednostki automatycznie zaatakują."
"DCG_NPE_DamagePreview"			"Podgląd walki pokazuje, jakie obrażenia każda jednostka poniesie podczas fazy bitwy."
"DCG_NPE_DeathPreview"			"Podgląd pokazuje, że ta jednostka zginie podczas bitwy."
"DCG_NPE_GlowingBorder"			"Wszystkie karty, które można zagrać, są podświetlone na niebiesko."
"DCG_NPE_GlowingBorder2"		"Zagraj kolejną kartę stwora (&#9640;), aby zaatakować wieżę."
"DCG_NPE_HeroColor2"			"Na tej ścieżce masz zielonego bohatera, więc możesz zagrywać zielone karty..."
