"dcg_tutorial"
{
// NPE
"DCG_NPE_Welcome"				"이건 시작에 불과합니다..."
"DCG_NPE_Starter1"				"적색/녹색 난동꾼 덱"
"DCG_NPE_Starter2"				"청색/흑색 통제자 덱"
"DCG_NPE_Training_Complete"		"훈련 완료"
"DCG_NPE_First_Match"			"1/2 매치"
"DCG_NPE_Begin_Training"		"훈련 시작"
"DCG_NPE_First_Deck_Desc"		"강인한 영웅과 강력한 강화 효과를 합하여 무력으로 적의 포탑을 산산조각 낼 수 있습니다."
"DCG_NPE_First_Match_Desc"		"핵심 규칙을 배우는 동안에는 완전히 자유로운 형식의 봇 매치를 플레이합니다."
"DCG_NPE_Second_Match"			"2/2 매치"
"DCG_NPE_Continue_Training"		"훈련 계속하기"
"DCG_NPE_Second_Deck_Desc"		"자신의 영웅들이 약해 보일지도 모르지만, 지략과 계획을 약간만 활용한다면 놀라운 능력을 발휘할 수 있습니다."
"DCG_NPE_Second_Match_Desc"		"중요한 규칙 몇 가지를 더 배우는 동안 다시 한번 완전히 자유로운 형식의 봇 매치를 플레이합니다."
"DCG_NPE_ClaimDecksAndPacks"	"덱 + 팩 받기"
"DCG_NPE_Training_Complete_Desc"	"훈련이 끝났습니다. 하지만 이건 이제 시작일 뿐이라는 걸 기억하세요. 플레이 경험이 많아질수록 게임을 더 깊이 이해할 수 있습니다."
"DCG_NPE_ThatsAll"				"이제부터 Artifact를 원하는 방식으로 플레이할 수 있습니다. 그냥 친구들과 친목을 도모하거나 다른 플레이어들과 경쟁하면서, 아니면 그냥 편히 쉬면서 플레이해보세요. 선택은 여러분의 몫입니다!"
"DCG_NPE_BotPractice"			"봇을 상대로 연습"
"DCG_NPE_BuildDecks"			"내 덱 맞춤 설정"
"DCG_NPE_Challenge"				"친구에게 도전"

"DCG_NPE_Skip"					"훈련을 건너뛰시겠습니까? (권장하지 않음)"
"DCG_NPE_Skip_Description"		"훈련에서는 신규 플레이어용 덱을 사용해 완전히 자유로운 방식으로 봇 매치를 두 번 진행하면서 Artifact의 핵심 메커니즘을 배웁니다. 훈련을 건너뛰어도 신규 플레이어용 덱과 카드 팩을 받습니다. 훈련을 건너뛰시겠습니까?"
"DCG_NPE_Skipped"				"훈련은 언제든 옵션 메뉴에서 다시 진행할 수 있습니다."

"DCG_NPE_Continue"				"계속"

"DCG_NPE_Intro01"				"첫 번째 덱으로 플레이해 봅시다! 적색과 녹색 영웅은 강인한 전사와 성직자입니다."
"DCG_NPE_Intro02"				"이번엔 정반대의 덱으로 플레이합니다. 흑색과 청색 영웅은 연약하지만 강력한 능력이 있는 도적과 마법사입니다."

"DCG_NPE_ZoomOut"				"보드를 두 번 클릭하면 세 전선을 모두 확인할 수 있습니다."
"DCG_NPE_TowersEachLane"		"나와 상대방의 전선 세 곳 모두에 포탑이 있습니다..."
"DCG_NPE_YourTowers"			"내 포탑"
"DCG_NPE_TheirTowers"			"상대 포탑"
"DCG_NPE_ZoomIn"				"왼쪽 전선을 두 번 클릭해 줌 인하세요."
"DCG_NPE_TowerHealth"			"각 포탑은 체력이 40인 상태로 시작합니다."
"DCG_NPE_DestroyAny2"			"상대방 포탑 세 곳 중 두 곳을 파괴하면 승리합니다!"
"DCG_NPE_HeroColor"				"이 전선에는 적색 영웅이 있습니다..."
"DCG_NPE_CardColor"				"…그러면 적색 카드만 플레이할 수 있습니다."
"DCG_NPE_PlayACreep"			"크립(&#9640;) 카드 하나를 전투 위치에 플레이하세요."
"DCG_NPE_CreepHittingTower"		"이 봉쇄되지 않은 유닛은 전투 시 포탑에 피해를 줍니다."
"DCG_NPE_Combat"				"대상 표시 화살표는 이 크립이 바로 건너편의 크립에게 피해를 준다고 알려줍니다."
"DCG_NPE_LastAction"			"상대방이 주문(&#9642;) 카드를 플레이해서 내 포탑에 피해를 6 주었습니다."
"DCG_NPE_LastAction2"			"두 번 클릭하면 상대방이 최근 플레이한 카드를 확인할 수 있습니다."
"DCG_NPE_Pass"					"두 플레이어가 모두 턴을 넘긴 후에는 모든 유닛이 자동으로 공격을 수행합니다."
"DCG_NPE_DamagePreview"			"전투 미리 보기에는 전투에서 각 유닛이 받을 피해량이 나타납니다."
"DCG_NPE_DeathPreview"			"전투 미리 보기를 보면 해당 유닛이 전투에서 죽는다는 것을 알 수 있습니다."
"DCG_NPE_GlowingBorder"			"플레이할 수 있는 카드는 테두리가 파란색으로 빛납니다."
"DCG_NPE_GlowingBorder2"		"포탑을 공격할 수 있는 다른 크립(&#9640;) 카드를 플레이하세요."
"DCG_NPE_HeroColor2"			"녹색 영웅이 있는 전선이므로 녹색 카드를 플레이할 수 있습니다..."
"DCG_NPE_CardCost"				"…하지만 해당 녹색 카드를 사용하려면 마나가 3 이상 필요합니다."
"DCG_NPE_CurrentMana"			"각 포탑은 마나가 3인 상태로 시작하며, 마나는 라운드마다 자동으로 다시 채워집니다."
"DCG_NPE_NoActions"				"할 수 있는 행동이 없어 그냥 턴을 넘겨야 할 때도 있습니다."
"DCG_NPE_YourGold"				"크립은 처치할 때마다 1골드를 받으며, 영웅을 처치하면 5골드를 받습니다."
