"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"I know some of you supported the vhoul rebellion... that you believed Rix’s cause was just; and that Galanius was a tyrant who needed to be shown that the world wasn’t his.  I understand why you felt that way.  It doesn’t matter anymore.  Rix has taken The Oath; and in exchange for his soul the Court of Ristul has given him the means to destroy Stonehall.  Is Galanius a monster?  Maybe.  But at least he is of the living. We will not stand idle while demons butcher the men, women, and children of Stonehall.  We will march. And we will fight.  And yes, many of us will die; but we offer our lives not out of foolishness but out of necessity... because if we don’t stop the dead and the damned... who will?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" Death is natural, as is our fear of it.  But hear me now and understand:  Death is not a monster that can be slain.  It is not source of power that can be bent to your will, nor a slave that will do your bidding.  So when Death comes for you, greet it not with fear - for the fear you show Death will be mirrored in the sorrow shown by those who love you.  No.  It is better to great Death warmly... with poise and courage; to be an example to your friends, so that they too can be couragous in your absence."
	"DCG_VO_lady_anshu_rumusque_scythe"	"The dead may be strong, but our faith is stronger."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Watch over us Crella... give us strength in the face of certain death, and wisdom to not repeat your folly."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"The wicked will be slain."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"I will bring justice."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"I shall protect the living..."
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"The flock will be protected."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"I'm not afraid to fight."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"I am adorned..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"I am protected..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"I don't fear death."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"I won't stop fighting."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"I'm in this til the bitter end."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Perfect."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"I needed this."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"This will work."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"I'll use this."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"Good."
	"DCG_VO_lady_anshu_kill_rival_01"	"I'll pray for you."
	"DCG_VO_lady_anshu_kill_rival_02"	"It's over."
	"DCG_VO_lady_anshu_kill_rival_03"	"It's too late for you."
	"DCG_VO_lady_anshu_kill_rival_04"	"You never had a chance."
	"DCG_VO_lady_anshu_kill_rival_05"	"Our cause is just."
	"DCG_VO_lady_anshu_kill_rival_06"	"The Rumusque will not fail!"
	"DCG_VO_lady_anshu_kill_rival_07"	"You never should have came here."
	"DCG_VO_lady_anshu_kill_rival_08"	"You don't belong here!"
	"DCG_VO_lady_anshu_kill_rival_09"	"A shepherd protects her flock."
	"DCG_VO_lady_anshu_kill_rival_10"	"Evil will never prevail."
	"DCG_VO_lady_anshu_use_include_01"	"Don't be afraid."
	"DCG_VO_lady_anshu_use_include_02"	"You will be remembered for your courage..."
	"DCG_VO_lady_anshu_use_include_03"	"Rest now."
	"DCG_VO_lady_anshu_unique_01"	"You’re a heretic and a charlatan, Necrophos."
	"DCG_VO_lady_anshu_unique_02"	"You're going to wish you died in the plague wards, Rotund'jere."
