"dcg_vo_set_00"
{

	"DCG_VO_lady_anshu_intro"	"Je sais que plusieurs d'entre vous ont soutenu la rébellion vhoul… que vous pensiez que la cause de Rix était juste, et que Galanius était un tyran qui devait savoir que le monde ne lui appartenait pas. Je comprends d'où viennent ces convictions, mais cela n'a plus d'importance. Rix a prêté serment et, en échange de son âme, la cour de Ristul lui a offert les moyens de détruire Pierrefort. Galanius est-il un monstre ? Peut-être. Mais, au moins, il fait partie des vivants. Nous ne resterons pas les bras croisés alors que les démons massacrent les hommes, les femmes et les enfants de Pierrefort. Nous marcherons. Et nous nous battrons. Bien sûr, nombre d'entre nous mourront. Cependant, le sacrifice de nos vies n'est pas une absurdité ; il est nécessaire… Car si nous n'arrêtons pas les morts et les damnés… qui le fera ?"
	"DCG_VO_lady_anshu_psalm_of_st_crell"	" La mort est naturelle, tout comme la peur que nous en avons. Mais écoutez-moi et tentez de comprendre : la mort n'est pas un monstre que l'on peut tuer. Ce n'est pas une source de pouvoir qui se pliera à votre volonté, ni une esclave qui obéira à vos ordres. Quand la mort viendra vous chercher, ne l'accueillez pas avec effroi, car la terreur que vous lui montrerez se reflètera dans le chagrin des personnes qui vous aiment. Non, accueillez-la plutôt chaleureusement, avec bravoure et sérénité. Soyez un exemple pour vos compères, pour qu'ils puissent également faire preuve de courage en votre absence."
	"DCG_VO_lady_anshu_rumusque_scythe"	"Les morts sont peut-être puissants, mais notre foi l'est encore plus."
	"DCG_VO_lady_anshu_shield_of_st_crell"	"Veillez sur nous, Ste Crella… Accordez-nous la force d'affronter une mort certaine, et la sagesse de ne pas reproduire vos erreurs."
	"DCG_VO_lady_anshu_equip_generic_weapon_01"	"Les esprits malicieux seront exterminés."
	"DCG_VO_lady_anshu_equip_generic_weapon_02"	"Je ferai régner la justice."
	"DCG_VO_lady_anshu_equip_generic_weapon_03"	"Je protègerai les êtres vivants…"
	"DCG_VO_lady_anshu_equip_generic_weapon_04"	"Les âmes fidèles seront protégées."
	"DCG_VO_lady_anshu_equip_generic_weapon_05"	"Je n'ai pas peur de me battre."
	"DCG_VO_lady_anshu_equip_generic_armor_01"	"Je suis parée..."
	"DCG_VO_lady_anshu_equip_generic_armor_02"	"Je suis protégée..."
	"DCG_VO_lady_anshu_equip_generic_armor_03"	"Je ne crains pas la mort."
	"DCG_VO_lady_anshu_equip_generic_armor_04"	"Je ne cesserai pas de me battre."
	"DCG_VO_lady_anshu_equip_generic_armor_05"	"Je lutterai jusqu'au bout."
	"DCG_VO_lady_anshu_equip_generic_accessory_01"	"Parfait."
	"DCG_VO_lady_anshu_equip_generic_accessory_02"	"J'en avais besoin."
	"DCG_VO_lady_anshu_equip_generic_accessory_03"	"Cela fera l'affaire."
	"DCG_VO_lady_anshu_equip_generic_accessory_04"	"Je m'en servirai."
	"DCG_VO_lady_anshu_equip_generic_accessory_05"	"C'est bien. "
	"DCG_VO_lady_anshu_kill_rival_01"	"Je prierai pour toi."
	"DCG_VO_lady_anshu_kill_rival_02"	"C'est fini."
	"DCG_VO_lady_anshu_kill_rival_03"	"Il est trop tard pour toi."
	"DCG_VO_lady_anshu_kill_rival_04"	"Tu n'avais aucune chance."
	"DCG_VO_lady_anshu_kill_rival_05"	"Notre cause est juste."
	"DCG_VO_lady_anshu_kill_rival_06"	"Les fidèles rumusques n'échoueront pas !"
	"DCG_VO_lady_anshu_kill_rival_07"	"Tu n'aurais jamais dû venir ici."
	"DCG_VO_lady_anshu_kill_rival_08"	"Tu n'as rien à faire ici !"
	"DCG_VO_lady_anshu_kill_rival_09"	"Une bergère protège son troupeau."
	"DCG_VO_lady_anshu_kill_rival_10"	"Jamais le Mal ne vaincra."
	"DCG_VO_lady_anshu_use_include_01"	"N'aie crainte."
